AgentName,StartTime,EndTime,Duration,UnitsTravelled,AverageUnitsPerSecond,StartingDistanceFromDest
BP_AgentATC_C_20,00:00:00,00:00:18,00:00:18,3605,200.28,3177.04
BP_AgentATC_C_19,00:00:00,00:00:19,00:00:19,3693,194.37,3042.06
BP_AgentATC_C_7,00:00:00,00:00:21,00:00:21,4261,202.90,2988.43
BP_AgentATC_C_6,00:00:00,00:00:33,00:00:33,6648,201.45,3608.90
BP_FTCAgent_C_15,00:00:00,00:00:34,00:00:34,6655,195.74,3171.53
BP_AgentATC_C_5,00:00:00,00:00:35,00:00:35,6959,198.83,3852.08
BP_FTCAgent_C_13,00:00:00,00:00:35,00:00:35,6661,190.31,3254.97
BP_AgentATC_C_10,00:00:00,00:00:36,00:00:36,7040,195.56,3319.39
BP_AUEAgent_C_14,00:00:00,00:00:36,00:00:36,6936,192.67,3555.08
BP_AgentATC_C_0,00:00:00,00:00:38,00:00:38,7050,185.53,3228.87
BP_AUEAgent_C_13,00:00:00,00:00:38,00:00:38,7042,185.32,3281.68
BP_AgentATC_C_14,00:00:00,00:00:39,00:00:39,7288,186.87,2854.64
BP_AgentATC_C_12,00:00:00,00:00:40,00:00:40,7500,187.50,1571.09
BP_FTCAgent_C_14,00:00:00,00:00:40,00:00:40,7332,183.30,3383.83
BP_AUEAgent_C_8,00:00:00,00:00:42,00:00:42,8324,198.19,4133.78
BP_AUEAgent_C_12,00:00:00,00:00:43,00:00:43,7460,173.49,3607.23
BP_AUEAgent_C_11,00:00:00,00:00:44,00:00:44,8572,194.82,3308.98
BP_AUEAgent_C_10,00:00:00,00:00:45,00:00:45,8700,193.33,3776.24
BP_FTCAgent_C_9,00:00:00,00:00:46,00:00:46,8692,188.96,3113.84
BP_FTCAgent_C_12,00:00:00,00:00:47,00:00:47,8497,180.79,4335.70
BP_AUEAgent_C_6,00:00:00,00:00:48,00:00:48,9182,191.29,1731.33
BP_FTCAgent_C_10,00:00:00,00:00:49,00:00:49,9197,187.69,3729.56
BP_FTCAgent_C_6,00:00:00,00:00:50,00:00:50,9454,189.08,3143.63
BP_FTCAgent_C_1,00:00:00,00:00:51,00:00:51,9492,186.12,1441.22
BP_AUEAgent_C_1,00:00:00,00:00:52,00:00:52,9963,191.60,3279.44
BP_AUEAgent_C_5,00:00:00,00:00:53,00:00:53,10283,194.02,3630.82
BP_AUEAgent_C_0,00:00:00,00:00:54,00:00:54,10151,187.98,3305.28
BP_AgentATC_C_2,00:00:00,00:00:54,00:00:54,10772,199.48,3280.03
BP_AgentATC_C_17,00:00:00,00:00:55,00:00:55,10670,194.00,4217.98
BP_AUEAgent_C_4,00:00:00,00:00:55,00:00:55,10270,186.73,3613.69
BP_FTCAgent_C_2,00:00:00,00:00:56,00:00:56,10268,183.36,3401.01
BP_FTCAgent_C_0,00:00:00,00:00:57,00:00:57,10281,180.37,3487.22
BP_AUEAgent_C_2,00:00:00,00:00:58,00:00:58,10758,185.48,3628.56
BP_FTCAgent_C_7,00:00:00,00:00:59,00:00:59,10354,175.49,3566.06
BP_AgentATC_C_1,00:00:00,00:01:00,00:01:00,10953,182.55,3927.90
BP_FTCAgent_C_5,00:00:00,00:01:00,00:01:00,10969,182.82,3522.26
