Time (s),Duration (hh:mm:ss)
00:00:00,107.62,
00:00:01,107.62,
00:00:02,107.62,
00:00:03,107.62,
00:00:04,75.00,
00:00:05,107.62,
00:00:06,121.35,
00:00:07,121.35,
00:00:08,121.35,
00:00:09,107.62,
00:00:10,107.62,
00:00:11,107.62,
00:00:12,107.62,
00:00:13,107.62,
00:00:14,107.62,
00:00:15,107.62,
00:00:16,121.35,
00:00:17,107.62,
00:00:18,107.62,
00:00:19,107.62,
00:00:20,107.62,
00:00:21,107.62,
00:00:22,75.00,
00:00:23,121.35,
00:00:24,121.35,
00:00:25,107.62,
00:00:26,107.62,
00:00:27,107.62,
00:00:28,107.62,
00:00:29,107.62,
00:00:30,107.62,
00:00:31,150.00,
