Time (s),Duration (hh:mm:ss)
00:00:00,143.49,
00:00:01,200.00,
00:00:02,200.00,
00:00:03,100.00,
00:00:04,143.49,
00:00:05,200.00,
00:00:06,200.00,
00:00:07,150.98,
00:00:08,50.00,
00:00:09,61.80,
00:00:10,61.80,
00:00:11,161.80,
00:00:12,143.49,
00:00:13,143.49,
00:00:14,143.49,
00:00:15,143.49,
00:00:16,143.49,
00:00:17,200.00,
00:00:18,200.00,
00:00:19,143.49,
00:00:20,97.00,
00:00:21,97.00,
00:00:22,200.00,
00:00:23,161.80,
00:00:24,143.49,
00:00:25,143.49,
00:00:26,161.80,
00:00:27,161.80,
00:00:28,161.80,
