Time (s),Duration (hh:mm:ss)
00:00:00,31.97,
00:00:01,73.42,
00:00:02,115.00,
00:00:03,114.23,
00:00:04,137.99,
00:00:05,121.86,
00:00:06,111.55,
00:00:07,57.50,
00:00:08,134.05,
00:00:09,165.02,
00:00:10,108.14,
00:00:11,165.02,
00:00:12,111.55,
00:00:13,111.55,
00:00:14,71.07,
00:00:15,14.81,
00:00:16,60.52,
00:00:17,11.09,
00:00:18,25.14,
00:00:19,45.91,
00:00:20,46.21,
00:00:21,36.89,
00:00:22,6.50,
00:00:23,43.76,
00:00:24,47.89,
00:00:25,66.15,
00:00:26,58.40,
00:00:27,111.55,
00:00:28,142.38,
00:00:29,165.02,
00:00:30,165.02,
00:00:31,165.02,
00:00:32,115.00,
00:00:33,111.55,
00:00:34,115.00,
00:00:35,115.00,
00:00:36,115.00,
00:00:37,115.00,
00:00:38,117.62,
00:00:39,165.02,
00:00:40,165.02,
00:00:41,165.02,
00:00:42,165.02,
00:00:43,165.02,
