Time (s),Duration (hh:mm:ss)
00:00:00,101.42,
00:00:01,150.00,
00:00:02,77.02,
00:00:03,107.62,
00:00:04,107.62,
00:00:05,107.62,
00:00:06,72.75,
00:00:07,107.62,
00:00:08,107.62,
00:00:09,107.62,
00:00:10,72.75,
00:00:11,72.75,
00:00:12,72.75,
00:00:13,121.35,
00:00:14,34.57,
00:00:15,46.35,
00:00:16,40.07,
00:00:17,46.35,
00:00:18,46.35,
00:00:19,46.35,
00:00:20,10.85,
00:00:21,6.05,
00:00:22,59.89,
00:00:23,72.75,
00:00:24,75.00,
00:00:25,75.00,
00:00:26,75.00,
00:00:27,75.00,
00:00:28,75.00,
00:00:29,75.00,
00:00:30,134.73,
00:00:31,75.00,
00:00:32,100.95,
00:00:33,107.62,
00:00:34,72.75,
00:00:35,72.75,
00:00:36,107.62,
00:00:37,75.00,
00:00:38,107.62,
00:00:39,75.00,
00:00:40,141.41,
00:00:41,126.60,
00:00:42,107.62,
00:00:43,107.62,
00:00:44,118.33,
00:00:45,150.00,
00:00:46,150.00,
00:00:47,150.00,
