Time (s), Speed
00:00:00,77.30,
00:00:01,77.30,
00:00:02,66.77,
00:00:03,107.74,
00:00:04,107.74,
00:00:05,107.74,
00:00:06,87.16,
00:00:07,43.46,
00:00:08,107.74,
00:00:09,107.74,
00:00:10,107.74,
00:00:11,107.74,
00:00:12,87.07,
00:00:13,107.74,
00:00:14,77.30,
00:00:15,77.30,
00:00:16,107.74,
00:00:17,53.87,
00:00:18,53.87,
00:00:19,107.74,
00:00:20,77.37,
00:00:21,41.13,
00:00:22,66.30,
00:00:23,84.90,
00:00:24,52.26,
00:00:25,26.94,
00:00:26,26.94,
00:00:27,47.71,
00:00:28,50.74,
00:00:29,53.87,
00:00:30,26.94,
00:00:31,26.94,
00:00:32,26.94,
00:00:33,26.94,
00:00:34,25.20,
00:00:35,26.94,
00:00:36,56.34,
00:00:37,107.74,
00:00:38,77.30,
00:00:39,77.30,
00:00:40,107.74,
00:00:41,107.74,
00:00:42,107.74,
00:00:43,107.74,
00:00:44,107.74,
00:00:45,107.74,
00:00:46,107.74,
00:00:47,107.74,
00:00:48,77.30,
00:00:49,77.30,
00:00:50,107.74,
00:00:51,107.74,
00:00:52,107.74,
00:00:53,107.74,
00:00:54,107.74,
00:00:55,107.74,
00:00:56,107.74,
