Time (s), Speed
00:00:00,47.34,
00:00:01,93.01,
00:00:02,93.01,
00:00:03,93.01,
00:00:04,64.82,
00:00:05,64.82,
00:00:06,93.01,
00:00:07,93.01,
00:00:08,33.01,
00:00:09,40.06,
00:00:10,40.06,
00:00:11,40.06,
00:00:12,11.52,
00:00:13,32.41,
00:00:14,34.81,
00:00:15,58.79,
00:00:16,63.04,
00:00:17,64.82,
00:00:18,64.82,
00:00:19,64.82,
00:00:20,129.64,
00:00:21,64.82,
00:00:22,64.82,
00:00:23,93.01,
00:00:24,93.01,
00:00:25,64.82,
00:00:26,64.82,
00:00:27,64.82,
00:00:28,64.82,
00:00:29,64.82,
00:00:30,64.82,
00:00:31,64.82,
00:00:32,64.82,
00:00:33,32.41,
00:00:34,40.56,
00:00:35,32.41,
00:00:36,33.57,
00:00:37,37.14,
00:00:38,28.05,
00:00:39,62.88,
00:00:40,62.88,
00:00:41,93.77,
00:00:42,62.88,
00:00:43,73.11,
00:00:44,120.92,
00:00:45,93.01,
00:00:46,93.01,
00:00:47,93.01,
00:00:48,93.01,
00:00:49,93.01,
00:00:50,93.01,
00:00:51,93.01,
00:00:52,93.01,
00:00:53,93.01,
00:00:54,93.01,
00:00:55,93.01,
00:00:56,93.01,
00:00:57,93.01,
00:00:58,93.01,
00:00:59,93.01,
00:01:00,93.01,
00:01:01,93.01,
00:01:02,93.01,
00:01:03,129.64,
00:01:04,96.30,
00:01:05,93.01,
00:01:06,129.64,
