Time (s), Speed
00:00:00,102.33,
00:00:01,102.33,
00:00:02,102.33,
00:00:03,102.33,
00:00:04,102.33,
00:00:05,102.33,
00:00:06,102.33,
00:00:07,102.33,
00:00:08,102.33,
00:00:09,102.33,
00:00:10,102.33,
00:00:11,102.33,
00:00:12,102.33,
00:00:13,102.33,
00:00:14,82.79,
00:00:15,82.79,
00:00:16,73.42,
00:00:17,60.02,
00:00:18,73.42,
00:00:19,73.42,
00:00:20,73.42,
00:00:21,73.42,
00:00:22,73.42,
00:00:23,49.63,
00:00:24,73.42,
00:00:25,87.36,
00:00:26,49.63,
00:00:27,102.33,
00:00:28,102.33,
00:00:29,102.33,
00:00:30,102.33,
00:00:31,102.33,
00:00:32,102.33,
00:00:33,102.33,
00:00:34,102.33,
00:00:35,102.33,
00:00:36,102.33,
00:00:37,102.33,
00:00:38,102.33,
00:00:39,102.33,
00:00:40,102.33,
00:00:41,102.33,
00:00:42,102.33,
00:00:43,102.33,
00:00:44,102.33,
00:00:45,102.33,
00:00:46,102.33,
