Time (s), Speed
00:00:00,49.18,
00:00:01,70.58,
00:00:02,70.58,
00:00:03,70.58,
00:00:04,70.58,
00:00:05,70.58,
00:00:06,79.58,
00:00:07,70.58,
00:00:08,47.71,
00:00:09,47.71,
00:00:10,70.58,
00:00:11,70.58,
00:00:12,70.58,
00:00:13,98.37,
00:00:14,24.59,
00:00:15,98.37,
00:00:16,98.37,
00:00:17,98.37,
00:00:18,98.37,
00:00:19,98.37,
00:00:20,70.58,
00:00:21,70.58,
00:00:22,85.51,
00:00:23,70.58,
00:00:24,81.05,
00:00:25,79.58,
00:00:26,70.58,
00:00:27,53.44,
00:00:28,98.37,
00:00:29,83.04,
00:00:30,38.67,
00:00:31,23.40,
00:00:32,24.59,
00:00:33,22.50,
00:00:34,24.59,
00:00:35,41.83,
00:00:36,24.59,
00:00:37,28.55,
00:00:38,30.40,
00:00:39,25.47,
00:00:40,98.37,
00:00:41,98.37,
00:00:42,98.37,
00:00:43,98.37,
00:00:44,98.37,
00:00:45,98.37,
00:00:46,98.37,
00:00:47,98.37,
00:00:48,98.37,
00:00:49,98.37,
00:00:50,98.37,
00:00:51,98.37,
00:00:52,98.37,
00:00:53,98.37,
00:00:54,98.37,
00:00:55,98.37,
00:00:56,98.37,
00:00:57,98.37,
00:00:58,98.37,
00:00:59,98.37,
00:01:00,70.58,
00:01:01,75.18,
