AgentName,StartTime,EndTime,Duration,AverageUnitsPerSecond,StartingDistanceFromDest,Wait Time,Max Speed
BP_Agent_Male19,00:00:00,00:00:32,00:00:32,1.38,3809.02,0.00,139.29
BP_Agent_Female23,00:00:00,00:00:37,00:00:37,1.17,3529.43,0.00,117.51
BP_Agent_Female8,00:00:00,00:00:37,00:00:37,1.15,3377.00,0.00,122.44
BP_Agent_Female22,00:00:00,00:00:39,00:00:39,1.12,3595.32,0.00,116.77
BP_Agent_Male9,00:00:00,00:00:40,00:00:40,1.10,3492.84,0.00,129.94
BP_Agent_Male24,00:00:00,00:00:42,00:00:42,1.04,3631.44,0.00,106.43
BP_Agent_Female7,00:00:00,00:00:43,00:00:43,1.05,3679.69,0.00,119.67
BP_Agent_Male14,00:00:00,00:00:44,00:00:44,1.01,3852.94,0.00,116.95
BP_Agent_Male10,00:00:00,00:00:45,00:00:45,1.00,3878.64,2.00,108.09
BP_Agent_Female24,00:00:00,00:00:47,00:00:47,0.93,3730.37,1.00,98.02
BP_Agent_Male8,00:00:00,00:00:48,00:00:48,0.92,3470.36,1.00,103.53
BP_Agent_Male22,00:00:00,00:00:48,00:00:48,0.91,3572.83,2.00,132.85
BP_Agent_Female11,00:00:00,00:00:49,00:00:49,0.98,3912.45,4.00,127.96
BP_Agent_Male12,00:00:00,00:00:49,00:00:49,0.95,3559.28,4.00,138.94
BP_Agent_Female16,00:00:00,00:00:49,00:00:49,0.94,3784.65,1.00,110.43
BP_Agent_Male7,00:00:00,00:00:50,00:00:50,0.88,3738.37,1.00,107.60
BP_Agent_Female15,00:00:00,00:00:50,00:00:50,0.94,3864.21,2.00,126.71
BP_Agent_Female14,00:00:00,00:00:51,00:00:51,0.92,3929.36,7.00,135.29
BP_Agent_Female9,00:00:00,00:00:51,00:00:51,0.86,3676.84,6.00,131.33
BP_Agent_Female4,00:00:00,00:00:51,00:00:51,0.89,3602.56,7.00,133.77
BP_Agent_Male15,00:00:00,00:00:52,00:00:52,0.92,3952.24,2.00,120.05
BP_Agent_Male16,00:00:00,00:00:52,00:00:52,0.98,4043.61,5.00,139.38
BP_Agent_Male17,00:00:00,00:00:52,00:00:52,0.91,3932.46,3.00,114.92
BP_Agent_Female2,00:00:00,00:00:53,00:00:53,0.87,3316.21,9.00,126.21
BP_Agent_Male20,00:00:00,00:00:54,00:00:54,0.90,3941.15,4.00,116.88
BP_Agent_Female10,00:00:00,00:00:55,00:00:55,0.82,3389.66,8.00,95.19
BP_Agent_Female3,00:00:00,00:00:56,00:00:56,0.85,3795.53,7.00,114.91
BP_Agent_Female21,00:00:00,00:00:57,00:00:57,0.82,3888.74,5.00,95.91
BP_Agent_Male3,00:00:00,00:00:57,00:00:57,0.84,3723.54,7.00,139.60
BP_Agent_Female12,00:00:00,00:00:58,00:00:58,0.80,3505.54,11.00,99.55
BP_Agent_Male,00:00:00,00:00:59,00:00:59,0.81,3680.29,8.00,108.94
BP_Agent_Female19,00:00:00,00:00:59,00:00:59,0.80,3952.95,10.00,128.55
BP_Agent_Male11,00:00:00,00:01:00,00:01:00,0.77,3828.77,12.00,97.59
BP_Agent_Male23,00:00:00,00:01:00,00:01:00,0.81,4060.99,6.00,114.29
BP_Agent_Female13,00:00:00,00:01:01,00:01:01,0.78,4086.28,9.00,111.11
BP_Agent_Female18,00:00:00,00:01:01,00:01:01,0.85,4212.45,12.00,130.97
BP_Agent_Female17,00:00:00,00:01:01,00:01:01,0.74,4026.86,12.00,96.58
BP_Agent_Female20,00:00:00,00:01:02,00:01:02,0.78,4031.73,13.00,133.68
BP_Agent_Male21,00:00:00,00:01:03,00:01:03,0.74,4061.28,12.00,103.40
BP_Agent_Male5,00:00:00,00:01:03,00:01:03,0.77,3440.10,11.00,121.44
BP_Agent_Female,00:00:00,00:01:03,00:01:03,0.77,3500.72,7.00,110.00
BP_Agent_Female6,00:00:00,00:01:04,00:01:04,0.77,3585.53,8.00,121.68
BP_Agent_Male4,00:00:00,00:01:04,00:01:04,0.74,3521.85,10.00,111.79
BP_Agent_Male13,00:00:00,00:01:05,00:01:05,0.73,3762.91,9.00,104.56
BP_Agent_Male18,00:00:00,00:01:06,00:01:06,0.74,4126.56,16.00,116.07
BP_Agent_Male6,00:00:00,00:01:07,00:01:07,0.72,3344.47,22.00,99.56
BP_Agent_Male2,00:00:00,00:01:08,00:01:08,0.73,3621.05,9.00,103.22
BP_Agent_Female5,00:00:00,00:01:09,00:01:09,0.66,3400.48,19.00,101.23
