Time (s), Speed
00:00:00,119.59,
00:00:01,119.59,
00:00:02,85.80,
00:00:03,95.38,
00:00:04,85.80,
00:00:05,76.22,
00:00:06,85.80,
00:00:07,85.80,
00:00:08,119.59,
00:00:09,119.59,
00:00:10,95.45,
00:00:11,74.96,
00:00:12,90.31,
00:00:13,119.59,
00:00:14,119.59,
00:00:15,85.80,
00:00:16,73.07,
00:00:17,85.80,
00:00:18,119.59,
00:00:19,85.80,
00:00:20,119.59,
00:00:21,59.80,
00:00:22,59.80,
00:00:23,92.92,
00:00:24,59.80,
00:00:25,59.80,
00:00:26,59.80,
00:00:27,59.80,
00:00:28,59.80,
00:00:29,85.80,
00:00:30,85.80,
00:00:31,85.80,
00:00:32,119.59,
00:00:33,119.59,
00:00:34,119.59,
00:00:35,119.59,
00:00:36,119.59,
00:00:37,119.59,
00:00:38,119.59,
00:00:39,119.59,
00:00:40,85.80,
00:00:41,85.80,
00:00:42,85.80,
00:00:43,85.80,
00:00:44,85.80,
00:00:45,119.59,
00:00:46,85.80,
00:00:47,119.59,
00:00:48,85.80,
