Time (s), Speed
00:00:00,42.38,
00:00:01,90.54,
00:00:02,126.19,
00:00:03,90.54,
00:00:04,90.54,
00:00:05,83.83,
00:00:06,27.57,
00:00:07,56.02,
00:00:08,61.20,
00:00:09,73.90,
00:00:10,31.55,
00:00:11,38.99,
00:00:12,61.20,
00:00:13,38.99,
00:00:14,126.19,
00:00:15,69.79,
00:00:16,90.54,
00:00:17,90.54,
00:00:18,88.33,
00:00:19,63.09,
00:00:20,63.09,
00:00:21,63.09,
00:00:22,63.09,
00:00:23,63.09,
00:00:24,63.09,
00:00:25,90.54,
00:00:26,61.20,
00:00:27,45.91,
00:00:28,61.20,
00:00:29,63.09,
00:00:30,63.09,
00:00:31,90.54,
00:00:32,80.30,
00:00:33,90.54,
00:00:34,38.99,
00:00:35,66.44,
00:00:36,90.54,
00:00:37,102.09,
00:00:38,61.20,
00:00:39,38.99,
00:00:40,50.31,
00:00:41,80.28,
00:00:42,102.09,
00:00:43,126.19,
00:00:44,126.19,
00:00:45,126.19,
00:00:46,90.54,
00:00:47,90.54,
00:00:48,90.54,
00:00:49,90.54,
00:00:50,90.54,
00:00:51,90.54,
00:00:52,126.19,
00:00:53,126.19,
00:00:54,126.19,
00:00:55,126.19,
00:00:56,126.19,
00:00:57,126.19,
00:00:58,90.54,
00:00:59,90.54,
00:01:00,90.54,
00:01:01,90.54,
