Time (s), Speed
00:00:00,112.88,
00:00:01,142.55,
00:00:02,142.55,
00:00:03,142.55,
00:00:04,142.55,
00:00:05,142.55,
00:00:06,98.63,
00:00:07,142.06,
00:00:08,142.55,
00:00:09,142.55,
00:00:10,142.55,
00:00:11,142.55,
00:00:12,71.27,
00:00:13,142.55,
00:00:14,102.27,
00:00:15,102.27,
00:00:16,142.55,
00:00:17,142.55,
00:00:18,102.27,
00:00:19,142.55,
00:00:20,142.55,
00:00:21,142.55,
00:00:22,142.55,
00:00:23,142.55,
00:00:24,102.27,
00:00:25,102.27,
00:00:26,102.27,
00:00:27,142.55,
00:00:28,142.55,
00:00:29,142.55,
00:00:30,142.55,
00:00:31,142.55,
00:00:32,142.55,
00:00:33,142.55,
