Time (s), Speed
00:00:00,46.62,
00:00:01,85.56,
00:00:02,85.56,
00:00:03,59.63,
00:00:04,88.84,
00:00:05,58.86,
00:00:06,59.63,
00:00:07,66.71,
00:00:08,57.84,
00:00:09,57.84,
00:00:10,59.63,
00:00:11,96.48,
00:00:12,62.17,
00:00:13,63.98,
00:00:14,119.26,
00:00:15,59.63,
00:00:16,69.74,
00:00:17,59.63,
00:00:18,85.56,
00:00:19,119.26,
00:00:20,102.08,
00:00:21,71.70,
00:00:22,57.84,
00:00:23,59.63,
00:00:24,119.26,
00:00:25,63.71,
00:00:26,93.47,
00:00:27,59.63,
00:00:28,59.63,
00:00:29,85.56,
00:00:30,29.81,
00:00:31,29.81,
00:00:32,29.81,
00:00:33,29.81,
00:00:34,29.81,
00:00:35,29.81,
00:00:36,59.63,
00:00:37,29.81,
00:00:38,29.81,
00:00:39,29.81,
00:00:40,30.91,
00:00:41,119.26,
00:00:42,85.56,
00:00:43,85.56,
00:00:44,119.26,
00:00:45,119.26,
00:00:46,119.26,
00:00:47,119.26,
00:00:48,119.26,
00:00:49,85.56,
00:00:50,85.56,
00:00:51,85.56,
00:00:52,85.56,
00:00:53,108.75,
00:00:54,119.26,
00:00:55,119.26,
00:00:56,85.56,
00:00:57,85.56,
00:00:58,59.63,
00:00:59,59.63,
00:01:00,85.56,
00:01:01,119.26,
