AgentName,StartTime,EndTime,Duration,AverageUnitsPerSecond,StartingDistanceFromDest,Wait Time,Max Speed
BP_Agent_Male9,00:00:00,00:00:32,00:00:32,1.36,3492.84,0.00,138.63
BP_Agent_Male24,00:00:00,00:00:33,00:00:33,1.30,3631.44,0.00,134.49
BP_Agent_Male12,00:00:00,00:00:34,00:00:34,1.31,3559.28,0.00,142.55
BP_Agent_Male10,00:00:00,00:00:35,00:00:35,1.25,3878.64,1.00,134.81
BP_Agent_Male14,00:00:00,00:00:36,00:00:36,1.23,3852.94,0.00,133.63
BP_Agent_Female22,00:00:00,00:00:38,00:00:38,1.14,3595.32,0.00,118.82
BP_Agent_Male20,00:00:00,00:00:39,00:00:39,1.18,3941.15,1.00,142.09
BP_Agent_Female24,00:00:00,00:00:40,00:00:40,1.11,3730.37,0.00,120.43
BP_Agent_Male11,00:00:00,00:00:41,00:00:41,1.13,3828.77,1.00,141.13
BP_Agent_Female16,00:00:00,00:00:42,00:00:42,1.10,3784.65,2.00,137.16
BP_Agent_Female23,00:00:00,00:00:44,00:00:44,0.97,3529.43,2.00,104.50
BP_Agent_Female8,00:00:00,00:00:45,00:00:45,0.97,3377.00,3.00,115.05
BP_Agent_Male19,00:00:00,00:00:46,00:00:46,0.99,3809.02,2.00,109.58
BP_Agent_Female12,00:00:00,00:00:47,00:00:47,0.97,3505.54,3.00,108.63
BP_Agent_Male7,00:00:00,00:00:48,00:00:48,0.96,3738.37,1.00,116.01
BP_Agent_Female21,00:00:00,00:00:48,00:00:48,0.97,3888.74,1.00,118.88
BP_Agent_Male8,00:00:00,00:00:49,00:00:49,0.95,3470.36,2.00,124.02
BP_Agent_Female3,00:00:00,00:00:49,00:00:49,0.94,3795.53,0.00,119.59
BP_Agent_Female11,00:00:00,00:00:49,00:00:49,0.94,3912.45,4.00,133.72
BP_Agent_Female20,00:00:00,00:00:50,00:00:50,0.93,4031.73,4.00,118.78
BP_Agent_Male13,00:00:00,00:00:51,00:00:51,0.96,3762.91,5.00,132.11
BP_Agent_Female7,00:00:00,00:00:52,00:00:52,0.87,3679.69,4.00,95.11
BP_Agent_Male23,00:00:00,00:00:52,00:00:52,0.93,4060.99,10.00,135.49
BP_Agent_Female4,00:00:00,00:00:53,00:00:53,0.85,3602.56,4.00,106.05
BP_Agent_Male17,00:00:00,00:00:53,00:00:53,0.88,3932.46,9.00,141.85
BP_Agent_Female19,00:00:00,00:00:53,00:00:53,0.86,3952.95,6.00,112.54
BP_Agent_Male22,00:00:00,00:00:54,00:00:54,0.82,3572.83,6.00,126.02
BP_Agent_Female15,00:00:00,00:00:56,00:00:56,0.84,3864.21,5.00,96.83
BP_Agent_Female9,00:00:00,00:00:57,00:00:57,0.82,3676.84,7.00,110.95
BP_Agent_Female6,00:00:00,00:00:57,00:00:57,0.85,3585.53,7.00,119.95
BP_Agent_Female13,00:00:00,00:00:57,00:00:57,0.82,4086.28,3.00,99.63
BP_Agent_Female10,00:00:00,00:00:58,00:00:58,0.77,3389.66,14.00,113.32
BP_Agent_Male15,00:00:00,00:00:58,00:00:58,0.82,3952.24,6.00,107.23
BP_Agent_Male18,00:00:00,00:00:59,00:00:59,0.84,4126.56,8.00,129.17
BP_Agent_Male16,00:00:00,00:01:00,00:01:00,0.81,4043.61,5.00,97.09
BP_Agent_Female18,00:00:00,00:01:00,00:01:00,0.81,4212.45,9.00,122.95
BP_Agent_Female14,00:00:00,00:01:01,00:01:01,0.77,3929.36,8.00,106.07
BP_Agent_Female17,00:00:00,00:01:01,00:01:01,0.80,4026.86,9.00,98.89
BP_Agent_Male,00:00:00,00:01:02,00:01:02,0.75,3680.29,11.00,119.26
BP_Agent_Female,00:00:00,00:01:02,00:01:02,0.82,3500.72,8.00,126.19
BP_Agent_Male4,00:00:00,00:01:03,00:01:03,0.78,3521.85,8.00,119.59
BP_Agent_Male6,00:00:00,00:01:03,00:01:03,0.80,3344.47,9.00,115.72
BP_Agent_Male5,00:00:00,00:01:03,00:01:03,0.74,3440.10,16.00,138.33
BP_Agent_Male21,00:00:00,00:01:04,00:01:04,0.77,4061.28,19.00,138.37
BP_Agent_Male2,00:00:00,00:01:04,00:01:04,0.78,3621.05,12.00,142.94
BP_Agent_Male3,00:00:00,00:01:05,00:01:05,0.73,3723.54,13.00,104.86
BP_Agent_Female5,00:00:00,00:01:05,00:01:05,0.69,3400.48,14.00,110.95
BP_Agent_Female2,00:00:00,00:01:07,00:01:07,0.69,3316.21,23.00,95.70
