Time (s), Speed
00:00:00,52.36,
00:00:01,62.61,
00:00:02,89.84,
00:00:03,89.84,
00:00:04,89.84,
00:00:05,89.84,
00:00:06,60.74,
00:00:07,60.74,
00:00:08,58.44,
00:00:09,31.31,
00:00:10,31.31,
00:00:11,60.74,
00:00:12,11.37,
00:00:13,38.48,
00:00:14,37.74,
00:00:15,35.62,
00:00:16,31.31,
00:00:17,29.94,
00:00:18,31.45,
00:00:19,62.61,
00:00:20,96.12,
00:00:21,89.84,
00:00:22,101.31,
00:00:23,101.31,
00:00:24,125.22,
00:00:25,125.22,
00:00:26,66.92,
00:00:27,62.61,
00:00:28,62.61,
00:00:29,89.84,
00:00:30,75.68,
00:00:31,125.22,
00:00:32,89.84,
00:00:33,89.84,
00:00:34,101.05,
00:00:35,79.93,
00:00:36,60.74,
00:00:37,41.32,
00:00:38,41.80,
00:00:39,46.66,
00:00:40,34.54,
00:00:41,101.31,
00:00:42,38.70,
00:00:43,101.31,
00:00:44,125.22,
00:00:45,125.22,
00:00:46,125.22,
00:00:47,125.22,
00:00:48,125.22,
00:00:49,125.22,
00:00:50,125.22,
00:00:51,125.22,
00:00:52,125.22,
00:00:53,125.22,
00:00:54,89.84,
00:00:55,125.22,
00:00:56,125.22,
00:00:57,89.84,
00:00:58,89.84,
00:00:59,89.84,
00:01:00,89.84,
00:01:01,62.61,
00:01:02,89.84,
00:01:03,92.73,
00:01:04,95.17,
00:01:05,95.15,
00:01:06,89.84,
00:01:07,89.84,
00:01:08,72.24,
00:01:09,125.22,
