Time (s), Speed
00:00:00,77.54,
00:00:01,78.94,
00:00:02,78.94,
00:00:03,86.18,
00:00:04,89.01,
00:00:05,53.36,
00:00:06,41.87,
00:00:07,0.00,
00:00:08,13.51,
00:00:09,0.00,
00:00:10,4.21,
00:00:11,21.70,
00:00:12,34.00,
00:00:13,34.00,
00:00:14,34.00,
00:00:15,22.16,
00:00:16,32.27,
00:00:17,29.75,
00:00:18,35.38,
00:00:19,34.00,
00:00:20,53.36,
00:00:21,71.29,
00:00:22,78.94,
00:00:23,85.97,
00:00:24,110.02,
00:00:25,110.02,
00:00:26,78.94,
00:00:27,78.94,
00:00:28,78.94,
00:00:29,78.94,
00:00:30,55.01,
00:00:31,78.94,
00:00:32,78.94,
00:00:33,78.94,
00:00:34,78.94,
00:00:35,109.77,
00:00:36,78.36,
00:00:37,71.87,
00:00:38,110.02,
00:00:39,53.36,
00:00:40,5.51,
00:00:41,23.89,
00:00:42,27.51,
00:00:43,55.01,
00:00:44,59.96,
00:00:45,78.94,
00:00:46,78.94,
00:00:47,66.79,
00:00:48,78.94,
00:00:49,97.37,
00:00:50,110.02,
00:00:51,110.02,
00:00:52,110.02,
00:00:53,110.02,
00:00:54,110.02,
00:00:55,110.02,
00:00:56,110.02,
00:00:57,110.02,
00:00:58,78.94,
00:00:59,78.94,
00:01:00,110.02,
00:01:01,110.02,
00:01:02,110.02,
00:01:03,110.02,
00:01:04,110.02,
00:01:05,110.02,
00:01:06,110.02,
00:01:07,110.02,
00:01:08,110.02,
00:01:09,110.02,
00:01:10,110.02,
00:01:11,110.02,
00:01:12,110.02,
00:01:13,78.94,
00:01:14,78.94,
00:01:15,78.94,
