Time (s), Speed
00:00:00,90.58,
00:00:01,103.05,
00:00:02,103.05,
00:00:03,73.94,
00:00:04,51.53,
00:00:05,49.98,
00:00:06,58.40,
00:00:07,68.44,
00:00:08,37.14,
00:00:09,25.76,
00:00:10,23.28,
00:00:11,49.98,
00:00:12,27.03,
00:00:13,15.41,
00:00:14,31.84,
00:00:15,17.49,
00:00:16,31.84,
00:00:17,31.84,
00:00:18,72.41,
00:00:19,73.94,
00:00:20,72.37,
00:00:21,103.05,
00:00:22,73.94,
00:00:23,83.37,
00:00:24,87.80,
00:00:25,73.94,
00:00:26,103.05,
00:00:27,103.05,
00:00:28,73.94,
00:00:29,103.05,
00:00:30,73.94,
00:00:31,51.53,
00:00:32,51.53,
00:00:33,63.21,
00:00:34,51.53,
00:00:35,51.53,
00:00:36,25.76,
00:00:37,57.98,
00:00:38,73.94,
00:00:39,49.98,
00:00:40,19.66,
00:00:41,25.76,
00:00:42,25.76,
00:00:43,49.98,
00:00:44,103.05,
00:00:45,25.76,
00:00:46,103.05,
00:00:47,103.05,
00:00:48,103.05,
00:00:49,103.05,
00:00:50,103.05,
00:00:51,103.05,
00:00:52,103.05,
00:00:53,103.05,
00:00:54,103.05,
00:00:55,103.05,
00:00:56,103.05,
00:00:57,103.05,
00:00:58,103.05,
00:00:59,103.05,
00:01:00,103.05,
00:01:01,103.05,
00:01:02,103.05,
00:01:03,103.05,
00:01:04,103.05,
00:01:05,103.05,
00:01:06,103.05,
00:01:07,103.05,
00:01:08,103.05,
00:01:09,103.05,
00:01:10,103.05,
00:01:11,103.05,
00:01:12,103.05,
00:01:13,73.94,
00:01:14,103.05,
