Time (s), Speed
00:00:00,124.20,
00:00:01,74.93,
00:00:02,62.10,
00:00:03,103.82,
00:00:04,52.59,
00:00:05,62.10,
00:00:06,62.10,
00:00:07,27.32,
00:00:08,3.36,
00:00:09,38.38,
00:00:10,13.84,
00:00:11,16.38,
00:00:12,38.38,
00:00:13,65.68,
00:00:14,38.38,
00:00:15,53.38,
00:00:16,62.10,
00:00:17,62.10,
00:00:18,83.02,
00:00:19,89.11,
00:00:20,89.11,
00:00:21,66.32,
00:00:22,89.11,
00:00:23,124.20,
00:00:24,77.41,
00:00:25,121.31,
00:00:26,124.20,
00:00:27,62.10,
00:00:28,102.79,
00:00:29,62.10,
00:00:30,62.10,
00:00:31,73.66,
00:00:32,62.10,
00:00:33,32.69,
00:00:34,60.24,
00:00:35,60.24,
00:00:36,60.24,
00:00:37,80.35,
00:00:38,38.38,
00:00:39,38.38,
00:00:40,83.92,
00:00:41,89.11,
00:00:42,89.11,
00:00:43,89.11,
00:00:44,89.11,
00:00:45,124.20,
00:00:46,124.20,
00:00:47,77.79,
00:00:48,89.11,
00:00:49,124.20,
00:00:50,124.20,
00:00:51,89.11,
00:00:52,124.20,
00:00:53,124.20,
00:00:54,93.17,
00:00:55,124.20,
00:00:56,89.11,
00:00:57,89.11,
00:00:58,111.68,
00:00:59,62.10,
00:01:00,124.20,
00:01:01,73.60,
00:01:02,97.97,
00:01:03,124.20,
00:01:04,72.59,
00:01:05,62.10,
00:01:06,89.11,
00:01:07,89.11,
00:01:08,120.11,
00:01:09,89.11,
00:01:10,124.20,
