AgentName,StartTime,EndTime,Duration,AverageUnitsPerSecond,StartingDistanceFromDest,Wait Time,Max Speed
BP_Agent_Female23,00:00:00,00:00:44,00:00:44,1.17,4085.01,0.00,117.40
BP_Agent_Female10,00:00:00,00:00:45,00:00:45,1.19,3907.06,0.00,137.74
BP_Agent_Male9,00:00:00,00:00:46,00:00:46,1.15,4034.55,0.00,133.11
BP_Agent_Female24,00:00:00,00:00:50,00:00:50,1.05,4304.57,0.00,108.12
BP_Agent_Male7,00:00:00,00:00:51,00:00:51,1.06,4293.02,0.00,129.80
BP_Agent_Female7,00:00:00,00:00:52,00:00:52,1.06,4229.44,1.00,137.54
BP_Agent_Female22,00:00:00,00:00:54,00:00:54,0.97,4154.28,0.00,98.16
BP_Agent_Male11,00:00:00,00:00:55,00:00:55,1.03,4381.03,4.00,138.11
BP_Agent_Female16,00:00:00,00:00:55,00:00:55,0.95,4350.02,1.00,126.51
BP_Agent_Male8,00:00:00,00:00:56,00:00:56,0.94,3992.82,6.00,130.59
BP_Agent_Male24,00:00:00,00:00:57,00:00:57,0.91,4199.12,2.00,98.00
BP_Agent_Female8,00:00:00,00:00:57,00:00:57,0.95,3902.84,7.00,128.74
BP_Agent_Male14,00:00:00,00:00:58,00:00:58,0.91,4448.74,8.00,115.82
BP_Agent_Female15,00:00:00,00:00:59,00:00:59,0.94,4436.23,6.00,136.01
BP_Agent_Male22,00:00:00,00:01:00,00:01:00,0.88,4116.44,3.00,103.61
BP_Agent_Female12,00:00:00,00:01:01,00:01:01,0.92,4015.01,4.00,122.86
BP_Agent_Female3,00:00:00,00:01:02,00:01:02,0.89,4329.39,9.00,127.07
BP_Agent_Female5,00:00:00,00:01:04,00:01:04,0.85,3900.06,11.00,96.74
BP_Agent_Female4,00:00:00,00:01:05,00:01:05,0.83,4123.70,6.00,112.17
BP_Agent_Female2,00:00:00,00:01:05,00:01:05,0.84,3804.95,14.00,128.88
BP_Agent_Female9,00:00:00,00:01:06,00:01:06,0.83,4210.56,10.00,98.82
BP_Agent_Female11,00:00:00,00:01:08,00:01:08,0.81,4471.42,8.00,95.25
BP_Agent_Male10,00:00:00,00:01:09,00:01:09,0.79,4488.47,11.00,100.92
BP_Agent_Male12,00:00:00,00:01:10,00:01:10,0.78,4089.60,13.00,115.24
BP_Agent_Male19,00:00:00,00:01:10,00:01:10,0.78,4388.86,11.00,98.52
BP_Agent_Male,00:00:00,00:01:11,00:01:11,0.80,4200.25,10.00,124.20
BP_Agent_Male16,00:00:00,00:01:12,00:01:12,0.82,4614.34,5.00,110.38
BP_Agent_Male5,00:00:00,00:01:12,00:01:12,0.78,3932.39,15.00,122.03
BP_Agent_Male13,00:00:00,00:01:12,00:01:12,0.79,4286.70,11.00,116.36
BP_Agent_Male23,00:00:00,00:01:13,00:01:13,0.79,4661.72,19.00,133.08
BP_Agent_Female19,00:00:00,00:01:13,00:01:13,0.77,4563.15,15.00,111.48
BP_Agent_Female14,00:00:00,00:01:13,00:01:13,0.79,4531.10,11.00,110.60
BP_Agent_Female21,00:00:00,00:01:14,00:01:14,0.76,4471.44,18.00,130.74
BP_Agent_Male6,00:00:00,00:01:14,00:01:14,0.77,3819.41,18.00,117.66
BP_Agent_Male4,00:00:00,00:01:15,00:01:15,0.76,4004.10,18.00,103.05
BP_Agent_Female6,00:00:00,00:01:16,00:01:16,0.76,4086.65,14.00,103.95
BP_Agent_Female20,00:00:00,00:01:16,00:01:16,0.75,4622.21,17.00,110.02
BP_Agent_Male17,00:00:00,00:01:17,00:01:17,0.76,4481.31,20.00,108.23
BP_Agent_Male21,00:00:00,00:01:18,00:01:18,0.72,4679.50,17.00,105.99
BP_Agent_Female17,00:00:00,00:01:19,00:01:19,0.73,4633.91,25.00,102.66
BP_Agent_Female18,00:00:00,00:01:20,00:01:20,0.75,4816.65,17.00,106.62
BP_Agent_Female,00:00:00,00:01:21,00:01:21,0.71,3966.79,22.00,111.10
BP_Agent_Female13,00:00:00,00:01:21,00:01:21,0.73,4667.83,25.00,127.14
BP_Agent_Male20,00:00:00,00:01:21,00:01:21,0.70,4532.74,25.00,121.62
BP_Agent_Male18,00:00:00,00:01:22,00:01:22,0.73,4718.96,30.00,134.45
BP_Agent_Male3,00:00:00,00:01:22,00:01:22,0.71,4232.02,24.00,125.03
BP_Agent_Male15,00:00:00,00:01:23,00:01:23,0.71,4520.66,24.00,125.31
BP_Agent_Male2,00:00:00,00:01:23,00:01:23,0.72,4111.56,27.00,140.67
