Time (s), Speed
00:00:00,86.09,
00:00:01,79.78,
00:00:02,79.78,
00:00:03,79.78,
00:00:04,79.78,
00:00:05,79.78,
00:00:06,66.87,
00:00:07,37.56,
00:00:08,79.78,
00:00:09,103.50,
00:00:10,103.50,
00:00:11,103.50,
00:00:12,79.76,
00:00:13,79.78,
00:00:14,79.78,
00:00:15,103.50,
00:00:16,103.50,
00:00:17,103.50,
00:00:18,103.50,
00:00:19,62.10,
00:00:20,60.53,
00:00:21,79.78,
00:00:22,79.78,
00:00:23,79.78,
00:00:24,79.78,
00:00:25,84.61,
00:00:26,84.61,
00:00:27,59.08,
00:00:28,37.56,
00:00:29,37.56,
00:00:30,84.61,
00:00:31,37.56,
00:00:32,79.04,
00:00:33,103.50,
00:00:34,103.50,
00:00:35,103.50,
00:00:36,103.50,
00:00:37,103.50,
00:00:38,103.50,
00:00:39,103.50,
00:00:40,103.50,
00:00:41,103.50,
00:00:42,103.50,
00:00:43,103.50,
00:00:44,103.50,
00:00:45,103.50,
00:00:46,103.50,
00:00:47,103.50,
00:00:48,103.50,
00:00:49,103.50,
00:00:50,103.50,
00:00:51,103.50,
00:00:52,103.50,
00:00:53,103.50,
00:00:54,103.50,
00:00:55,103.50,
00:00:56,103.50,
00:00:57,103.50,
00:00:58,103.50,
00:00:59,103.50,
00:01:00,103.50,
