Time (s), Speed
00:00:00,73.59,
00:00:01,95.47,
00:00:02,95.47,
00:00:03,95.47,
00:00:04,95.47,
00:00:05,57.28,
00:00:06,73.59,
00:00:07,73.59,
00:00:08,38.19,
00:00:09,42.68,
00:00:10,54.49,
00:00:11,34.64,
00:00:12,26.57,
00:00:13,34.64,
00:00:14,34.64,
00:00:15,54.49,
00:00:16,57.28,
00:00:17,73.59,
00:00:18,57.28,
00:00:19,57.28,
00:00:20,73.59,
00:00:21,73.59,
00:00:22,73.59,
00:00:23,73.59,
00:00:24,79.91,
00:00:25,95.47,
00:00:26,95.47,
00:00:27,82.66,
00:00:28,73.59,
00:00:29,78.05,
00:00:30,78.05,
00:00:31,78.05,
00:00:32,78.05,
00:00:33,63.30,
00:00:34,39.74,
00:00:35,39.47,
00:00:36,38.19,
00:00:37,37.30,
00:00:38,18.84,
00:00:39,34.64,
00:00:40,36.48,
00:00:41,34.64,
00:00:42,21.35,
00:00:43,34.64,
00:00:44,74.78,
00:00:45,34.64,
00:00:46,95.47,
00:00:47,95.47,
00:00:48,95.47,
00:00:49,95.47,
00:00:50,95.47,
00:00:51,95.47,
00:00:52,95.47,
00:00:53,95.47,
00:00:54,95.47,
00:00:55,95.47,
00:00:56,95.47,
00:00:57,95.47,
00:00:58,95.47,
00:00:59,95.47,
00:01:00,95.47,
00:01:01,95.47,
00:01:02,95.47,
00:01:03,95.47,
00:01:04,95.47,
00:01:05,95.47,
00:01:06,95.47,
00:01:07,95.47,
00:01:08,95.47,
00:01:09,95.47,
00:01:10,95.47,
00:01:11,95.47,
00:01:12,95.47,
00:01:13,95.47,
00:01:14,95.47,
00:01:15,95.47,
00:01:16,95.47,
