Time (s), Speed
00:00:00,61.79,
00:00:01,64.95,
00:00:02,83.44,
00:00:03,83.44,
00:00:04,41.80,
00:00:05,61.79,
00:00:06,64.95,
00:00:07,58.95,
00:00:08,39.28,
00:00:09,39.28,
00:00:10,39.28,
00:00:11,39.28,
00:00:12,18.53,
00:00:13,12.37,
00:00:14,39.28,
00:00:15,4.01,
00:00:16,39.28,
00:00:17,39.28,
00:00:18,52.11,
00:00:19,83.44,
00:00:20,83.44,
00:00:21,83.44,
00:00:22,64.95,
00:00:23,66.69,
00:00:24,64.95,
00:00:25,83.44,
00:00:26,108.25,
00:00:27,86.70,
00:00:28,103.25,
00:00:29,108.25,
00:00:30,64.95,
00:00:31,108.25,
00:00:32,43.30,
00:00:33,108.25,
00:00:34,64.95,
00:00:35,43.30,
00:00:36,43.30,
00:00:37,43.30,
00:00:38,14.20,
00:00:39,3.58,
00:00:40,39.28,
00:00:41,39.28,
00:00:42,35.93,
00:00:43,43.30,
00:00:44,33.74,
00:00:45,21.36,
00:00:46,4.64,
00:00:47,27.61,
00:00:48,12.90,
00:00:49,2.47,
00:00:50,12.76,
00:00:51,43.30,
00:00:52,34.69,
00:00:53,39.28,
00:00:54,15.42,
00:00:55,27.07,
00:00:56,39.28,
00:00:57,108.25,
00:00:58,108.25,
00:00:59,108.25,
00:01:00,108.25,
00:01:01,108.25,
00:01:02,108.25,
00:01:03,108.25,
00:01:04,108.25,
00:01:05,108.25,
00:01:06,108.25,
00:01:07,108.25,
00:01:08,108.25,
00:01:09,108.25,
00:01:10,108.25,
00:01:11,108.25,
00:01:12,108.25,
00:01:13,108.25,
00:01:14,108.25,
00:01:15,108.25,
00:01:16,108.25,
00:01:17,108.25,
00:01:18,108.25,
00:01:19,108.25,
00:01:20,108.25,
00:01:21,108.25,
00:01:22,108.25,
00:01:23,100.65,
