Time (s), Speed
00:00:00,57.38,
00:00:01,77.48,
00:00:02,77.48,
00:00:03,89.95,
00:00:04,57.38,
00:00:05,80.28,
00:00:06,77.48,
00:00:07,57.38,
00:00:08,36.47,
00:00:09,44.79,
00:00:10,37.78,
00:00:11,8.46,
00:00:12,47.29,
00:00:13,36.47,
00:00:14,36.47,
00:00:15,36.47,
00:00:16,77.48,
00:00:17,82.17,
00:00:18,100.51,
00:00:19,100.51,
00:00:20,77.48,
00:00:21,100.51,
00:00:22,100.51,
00:00:23,100.51,
00:00:24,100.51,
00:00:25,100.51,
00:00:26,100.51,
00:00:27,100.51,
00:00:28,100.51,
00:00:29,77.48,
00:00:30,40.21,
00:00:31,100.51,
00:00:32,40.21,
00:00:33,40.21,
00:00:34,2.77,
00:00:35,27.24,
00:00:36,1.59,
00:00:37,11.70,
00:00:38,14.46,
00:00:39,36.47,
00:00:40,0.00,
00:00:41,2.51,
00:00:42,24.22,
00:00:43,24.94,
00:00:44,31.19,
00:00:45,9.67,
00:00:46,30.54,
00:00:47,77.48,
00:00:48,100.51,
00:00:49,100.51,
00:00:50,100.51,
00:00:51,100.51,
00:00:52,100.51,
00:00:53,82.17,
00:00:54,77.48,
00:00:55,100.51,
00:00:56,100.51,
00:00:57,100.51,
00:00:58,100.51,
00:00:59,100.51,
00:01:00,100.51,
00:01:01,100.51,
00:01:02,100.51,
00:01:03,100.51,
00:01:04,100.51,
00:01:05,77.48,
00:01:06,77.48,
00:01:07,100.51,
00:01:08,100.51,
00:01:09,100.51,
00:01:10,100.51,
00:01:11,100.51,
00:01:12,100.51,
00:01:13,82.17,
00:01:14,82.17,
00:01:15,82.17,
00:01:16,82.17,
00:01:17,82.17,
00:01:18,57.38,
