AgentName,StartTime,EndTime,Duration,AverageUnitsPerSecond,StartingDistanceFromDest,Wait Time,Max Speed
BP_Agent_Female23,00:00:00,00:00:38,00:00:38,1.35,4085.01,0.00,136.35
BP_Agent_Male24,00:00:00,00:00:39,00:00:39,1.35,4199.12,0.00,135.98
BP_Agent_Male9,00:00:00,00:00:41,00:00:41,1.29,4034.55,0.00,131.03
BP_Agent_Male14,00:00:00,00:00:41,00:00:41,1.29,4448.74,0.00,142.99
BP_Agent_Female22,00:00:00,00:00:48,00:00:48,1.08,4154.28,0.00,109.77
BP_Agent_Male7,00:00:00,00:00:50,00:00:50,1.08,4293.02,0.00,108.47
BP_Agent_Female8,00:00:00,00:00:51,00:00:51,1.04,3902.84,0.00,120.45
BP_Agent_Female24,00:00:00,00:00:53,00:00:53,0.99,4304.57,0.00,101.66
BP_Agent_Male22,00:00:00,00:00:54,00:00:54,0.98,4116.44,0.00,102.18
BP_Agent_Male10,00:00:00,00:00:55,00:00:55,0.97,4488.47,4.00,118.92
BP_Agent_Male8,00:00:00,00:00:56,00:00:56,0.96,3992.82,0.00,102.76
BP_Agent_Female12,00:00:00,00:00:56,00:00:56,0.99,4015.01,5.00,136.45
BP_Agent_Male20,00:00:00,00:00:56,00:00:56,0.96,4532.74,7.00,137.02
BP_Agent_Male12,00:00:00,00:00:56,00:00:56,0.96,4089.60,0.00,118.43
BP_Agent_Female16,00:00:00,00:00:57,00:00:57,0.95,4350.02,5.00,130.12
BP_Agent_Female10,00:00:00,00:00:57,00:00:57,0.93,3907.06,6.00,116.59
BP_Agent_Female7,00:00:00,00:01:01,00:01:01,0.90,4229.44,4.00,103.50
BP_Agent_Female2,00:00:00,00:01:02,00:01:02,0.88,3804.95,6.00,105.54
BP_Agent_Female6,00:00:00,00:01:02,00:01:02,0.90,4086.65,7.00,117.09
BP_Agent_Female9,00:00:00,00:01:03,00:01:03,0.87,4210.56,9.00,106.46
BP_Agent_Female3,00:00:00,00:01:05,00:01:05,0.85,4329.39,7.00,97.67
BP_Agent_Female5,00:00:00,00:01:06,00:01:06,0.85,3900.06,12.00,107.65
BP_Agent_Male19,00:00:00,00:01:07,00:01:07,0.82,4388.86,16.00,110.42
BP_Agent_Male11,00:00:00,00:01:07,00:01:07,0.83,4381.03,10.00,108.13
BP_Agent_Male6,00:00:00,00:01:07,00:01:07,0.82,3819.41,11.00,133.72
BP_Agent_Female19,00:00:00,00:01:07,00:01:07,0.82,4563.15,15.00,108.25
BP_Agent_Female4,00:00:00,00:01:08,00:01:08,0.81,4123.70,13.00,106.82
BP_Agent_Female17,00:00:00,00:01:09,00:01:09,0.81,4633.91,22.00,135.83
BP_Agent_Female15,00:00:00,00:01:09,00:01:09,0.81,4436.23,20.00,119.92
BP_Agent_Male5,00:00:00,00:01:10,00:01:10,0.79,3932.39,17.00,129.07
BP_Agent_Female11,00:00:00,00:01:11,00:01:11,0.78,4471.42,15.00,101.99
BP_Agent_Female21,00:00:00,00:01:12,00:01:12,0.78,4471.44,19.00,112.22
BP_Agent_Female,00:00:00,00:01:17,00:01:17,0.74,3966.79,17.00,95.47
BP_Agent_Male21,00:00:00,00:01:18,00:01:18,0.72,4679.50,28.00,109.69
BP_Agent_Male16,00:00:00,00:01:19,00:01:19,0.73,4614.34,21.00,107.06
BP_Agent_Male17,00:00:00,00:01:19,00:01:19,0.71,4481.31,29.00,105.33
BP_Agent_Male,00:00:00,00:01:19,00:01:19,0.71,4200.25,24.00,100.51
BP_Agent_Female14,00:00:00,00:01:19,00:01:19,0.69,4531.10,26.00,110.63
BP_Agent_Male3,00:00:00,00:01:20,00:01:20,0.71,4232.02,28.00,120.05
BP_Agent_Male15,00:00:00,00:01:20,00:01:20,0.68,4520.66,28.00,129.87
BP_Agent_Female13,00:00:00,00:01:21,00:01:21,0.71,4667.83,25.00,103.37
BP_Agent_Female20,00:00:00,00:01:22,00:01:22,0.69,4622.21,31.00,119.83
BP_Agent_Male4,00:00:00,00:01:22,00:01:22,0.69,4004.10,31.00,119.77
BP_Agent_Female18,00:00:00,00:01:23,00:01:23,0.69,4816.65,24.00,94.85
BP_Agent_Male13,00:00:00,00:01:24,00:01:24,0.68,4286.70,34.00,108.25
BP_Agent_Male23,00:00:00,00:01:24,00:01:24,0.67,4661.72,33.00,119.44
BP_Agent_Male18,00:00:00,00:01:25,00:01:25,0.67,4718.96,34.00,107.79
BP_Agent_Male2,00:00:00,00:01:26,00:01:26,0.67,4111.56,38.00,120.92
