Time (s), Speed
00:00:00,63.13,
00:00:01,76.86,
00:00:02,76.86,
00:00:03,76.86,
00:00:04,76.86,
00:00:05,57.32,
00:00:06,76.86,
00:00:07,76.86,
00:00:08,51.96,
00:00:09,51.96,
00:00:10,51.96,
00:00:11,51.82,
00:00:12,26.78,
00:00:13,26.78,
00:00:14,33.10,
00:00:15,33.10,
00:00:16,43.95,
00:00:17,33.10,
00:00:18,76.86,
00:00:19,76.86,
00:00:20,76.86,
00:00:21,107.13,
00:00:22,53.56,
00:00:23,76.86,
00:00:24,80.25,
00:00:25,84.27,
00:00:26,107.13,
00:00:27,58.96,
00:00:28,53.56,
00:00:29,76.86,
00:00:30,76.86,
00:00:31,84.67,
00:00:32,80.05,
00:00:33,76.86,
00:00:34,53.56,
00:00:35,53.56,
00:00:36,51.96,
00:00:37,26.78,
00:00:38,51.96,
00:00:39,26.78,
00:00:40,41.14,
00:00:41,51.96,
00:00:42,86.67,
00:00:43,65.00,
00:00:44,31.44,
00:00:45,33.10,
00:00:46,33.10,
00:00:47,33.10,
00:00:48,107.13,
00:00:49,107.13,
00:00:50,107.13,
00:00:51,107.13,
00:00:52,107.13,
00:00:53,107.13,
00:00:54,107.13,
00:00:55,107.13,
00:00:56,107.13,
00:00:57,107.13,
00:00:58,107.13,
00:00:59,76.86,
00:01:00,85.59,
00:01:01,107.13,
00:01:02,107.13,
00:01:03,107.13,
00:01:04,76.86,
00:01:05,76.86,
00:01:06,76.86,
00:01:07,76.86,
00:01:08,107.13,
00:01:09,107.13,
00:01:10,107.13,
00:01:11,76.86,
00:01:12,76.86,
00:01:13,86.67,
