Time (s), Speed
00:00:00,28.50,
00:00:01,71.21,
00:00:02,69.91,
00:00:03,86.15,
00:00:04,100.32,
00:00:05,49.20,
00:00:06,67.82,
00:00:07,67.82,
00:00:08,30.05,
00:00:09,43.21,
00:00:10,34.96,
00:00:11,34.75,
00:00:12,12.21,
00:00:13,38.25,
00:00:14,43.21,
00:00:15,6.00,
00:00:16,25.14,
00:00:17,46.23,
00:00:18,69.91,
00:00:19,69.91,
00:00:20,69.91,
00:00:21,69.91,
00:00:22,69.91,
00:00:23,69.91,
00:00:24,69.91,
00:00:25,69.91,
00:00:26,69.91,
00:00:27,34.96,
00:00:28,68.48,
00:00:29,34.96,
00:00:30,63.46,
00:00:31,69.91,
00:00:32,69.91,
00:00:33,69.91,
00:00:34,31.84,
00:00:35,34.96,
00:00:36,101.76,
00:00:37,65.49,
00:00:38,69.91,
00:00:39,67.82,
00:00:40,34.96,
00:00:41,34.96,
00:00:42,43.21,
00:00:43,41.26,
00:00:44,51.52,
00:00:45,34.12,
00:00:46,28.55,
00:00:47,44.91,
00:00:48,85.72,
00:00:49,100.32,
00:00:50,100.32,
00:00:51,100.32,
00:00:52,100.32,
00:00:53,100.32,
00:00:54,100.32,
00:00:55,100.32,
00:00:56,100.32,
00:00:57,116.97,
00:00:58,139.83,
00:00:59,100.32,
00:01:00,100.32,
00:01:01,100.32,
00:01:02,100.32,
00:01:03,114.40,
00:01:04,139.83,
00:01:05,139.83,
00:01:06,139.83,
00:01:07,100.32,
00:01:08,100.32,
00:01:09,113.12,
00:01:10,113.12,
00:01:11,108.39,
00:01:12,113.83,
