AgentName,StartTime,EndTime,Duration,AverageUnitsPerSecond,StartingDistanceFromDest,Wait Time,Max Speed
BP_Agent_Male24,00:00:00,00:00:37,00:00:37,1.31,3921.86,0.00,132.40
BP_Agent_Female24,00:00:00,00:00:40,00:00:40,1.21,4024.75,0.00,122.14
BP_Agent_Male10,00:00:00,00:00:41,00:00:41,1.17,4193.57,0.00,119.60
BP_Agent_Female23,00:00:00,00:00:43,00:00:43,1.12,3812.69,0.00,115.48
BP_Agent_Female8,00:00:00,00:00:44,00:00:44,1.10,3642.86,0.00,118.16
BP_Agent_Female22,00:00:00,00:00:45,00:00:45,1.08,3880.69,0.00,126.90
BP_Agent_Male14,00:00:00,00:00:47,00:00:47,1.03,4159.86,0.00,107.00
BP_Agent_Female16,00:00:00,00:00:48,00:00:48,1.06,4074.16,1.00,120.12
BP_Agent_Male22,00:00:00,00:00:49,00:00:49,1.06,3849.43,1.00,137.11
BP_Agent_Male9,00:00:00,00:00:51,00:00:51,0.94,3768.11,2.00,98.27
BP_Agent_Female7,00:00:00,00:00:52,00:00:52,0.95,3960.08,1.00,111.35
BP_Agent_Female15,00:00:00,00:00:52,00:00:52,0.97,4157.68,3.00,130.30
BP_Agent_Male12,00:00:00,00:00:53,00:00:53,0.93,3828.30,4.00,119.31
BP_Agent_Male17,00:00:00,00:00:53,00:00:53,0.99,4213.01,2.00,134.09
BP_Agent_Male8,00:00:00,00:00:53,00:00:53,0.92,3734.63,6.00,129.43
BP_Agent_Male19,00:00:00,00:00:55,00:00:55,0.89,4106.79,2.00,101.35
BP_Agent_Male11,00:00:00,00:00:56,00:00:56,0.89,4110.98,1.00,103.31
BP_Agent_Female11,00:00:00,00:00:57,00:00:57,0.89,4198.66,4.00,108.37
BP_Agent_Female3,00:00:00,00:00:58,00:00:58,0.91,4067.26,5.00,126.05
BP_Agent_Male7,00:00:00,00:00:59,00:00:59,0.84,4021.69,4.00,100.46
BP_Agent_Female9,00:00:00,00:00:59,00:00:59,0.85,3948.14,3.00,114.35
BP_Agent_Female12,00:00:00,00:01:00,00:01:00,0.85,3762.57,7.00,115.39
BP_Agent_Male15,00:00:00,00:01:00,00:01:00,0.89,4243.88,14.00,142.52
BP_Agent_Female4,00:00:00,00:01:01,00:01:01,0.84,3866.52,5.00,107.74
BP_Agent_Female10,00:00:00,00:01:03,00:01:03,0.79,3650.77,12.00,96.59
BP_Agent_Female21,00:00:00,00:01:04,00:01:04,0.81,4188.31,9.00,113.70
BP_Agent_Male20,00:00:00,00:01:04,00:01:04,0.77,4245.87,12.00,116.85
BP_Agent_Female20,00:00:00,00:01:05,00:01:05,0.82,4336.02,11.00,135.76
BP_Agent_Female19,00:00:00,00:01:05,00:01:05,0.79,4268.24,10.00,98.64
BP_Agent_Male13,00:00:00,00:01:06,00:01:06,0.81,4028.86,18.00,142.21
BP_Agent_Male,00:00:00,00:01:06,00:01:06,0.78,3943.83,10.00,101.71
BP_Agent_Male4,00:00:00,00:01:07,00:01:07,0.81,3763.56,9.00,127.00
BP_Agent_Female14,00:00:00,00:01:07,00:01:07,0.76,4239.81,13.00,94.84
BP_Agent_Female5,00:00:00,00:01:08,00:01:08,0.75,3651.53,15.00,98.81
BP_Agent_Male3,00:00:00,00:01:08,00:01:08,0.78,3980.74,14.00,128.58
BP_Agent_Female6,00:00:00,00:01:09,00:01:09,0.75,3838.12,21.00,98.52
BP_Agent_Male21,00:00:00,00:01:09,00:01:09,0.77,4381.32,24.00,139.17
BP_Agent_Female13,00:00:00,00:01:10,00:01:10,0.79,4385.63,11.00,102.00
BP_Agent_Male18,00:00:00,00:01:11,00:01:11,0.73,4432.12,9.00,104.36
BP_Agent_Male16,00:00:00,00:01:12,00:01:12,0.76,4336.76,15.00,103.07
BP_Agent_Male2,00:00:00,00:01:12,00:01:12,0.73,3867.78,17.00,131.84
BP_Agent_Male5,00:00:00,00:01:13,00:01:13,0.73,3687.17,23.00,139.83
BP_Agent_Female2,00:00:00,00:01:13,00:01:13,0.71,3560.79,21.00,95.63
BP_Agent_Female18,00:00:00,00:01:14,00:01:14,0.73,4524.83,13.00,103.23
BP_Agent_Female,00:00:00,00:01:14,00:01:14,0.73,3733.22,13.00,107.13
BP_Agent_Male23,00:00:00,00:01:15,00:01:15,0.73,4371.13,25.00,136.30
BP_Agent_Female17,00:00:00,00:01:15,00:01:15,0.73,4340.51,20.00,102.75
BP_Agent_Male6,00:00:00,00:01:16,00:01:16,0.68,3581.35,20.00,100.40
