Time (s), Speed
00:00:00,103.75,
00:00:01,86.20,
00:00:02,113.63,
00:00:03,81.53,
00:00:04,81.53,
00:00:05,81.53,
00:00:06,81.10,
00:00:07,113.63,
00:00:08,113.63,
00:00:09,81.53,
00:00:10,81.53,
00:00:11,113.63,
00:00:12,113.63,
00:00:13,113.63,
00:00:14,81.53,
00:00:15,81.53,
00:00:16,55.11,
00:00:17,113.63,
00:00:18,113.63,
00:00:19,81.53,
00:00:20,81.53,
00:00:21,56.82,
00:00:22,56.82,
00:00:23,56.82,
00:00:24,62.77,
00:00:25,81.53,
00:00:26,56.82,
00:00:27,71.26,
00:00:28,81.53,
00:00:29,81.53,
00:00:30,81.53,
00:00:31,100.44,
00:00:32,113.63,
00:00:33,113.63,
00:00:34,113.63,
00:00:35,113.63,
00:00:36,113.63,
00:00:37,113.63,
00:00:38,113.63,
00:00:39,81.53,
00:00:40,81.53,
00:00:41,81.53,
00:00:42,81.53,
00:00:43,113.63,
00:00:44,113.63,
00:00:45,113.63,
00:00:46,113.63,
00:00:47,113.63,
00:00:48,81.53,
00:00:49,81.53,
00:00:50,94.86,
00:00:51,113.63,
00:00:52,81.53,
