Time (s), Speed
00:00:00,29.20,
00:00:01,83.80,
00:00:02,83.80,
00:00:03,97.82,
00:00:04,88.77,
00:00:05,29.20,
00:00:06,32.58,
00:00:07,44.69,
00:00:08,56.65,
00:00:09,31.89,
00:00:10,56.65,
00:00:11,56.65,
00:00:12,68.86,
00:00:13,70.84,
00:00:14,79.06,
00:00:15,83.80,
00:00:16,83.80,
00:00:17,83.80,
00:00:18,83.80,
00:00:19,58.40,
00:00:20,58.40,
00:00:21,58.40,
00:00:22,58.40,
00:00:23,58.40,
00:00:24,58.40,
00:00:25,53.86,
00:00:26,58.40,
00:00:27,58.40,
00:00:28,58.40,
00:00:29,83.80,
00:00:30,58.40,
00:00:31,58.40,
00:00:32,58.40,
00:00:33,29.20,
00:00:34,29.20,
00:00:35,34.28,
00:00:36,29.20,
00:00:37,32.87,
00:00:38,11.86,
00:00:39,29.20,
00:00:40,29.20,
00:00:41,29.20,
00:00:42,29.20,
00:00:43,25.75,
00:00:44,34.32,
00:00:45,27.41,
00:00:46,29.20,
00:00:47,52.34,
00:00:48,116.80,
00:00:49,83.80,
00:00:50,83.80,
00:00:51,83.80,
00:00:52,83.80,
00:00:53,116.80,
00:00:54,116.80,
00:00:55,116.80,
00:00:56,116.80,
00:00:57,116.80,
00:00:58,116.80,
00:00:59,116.80,
00:01:00,83.80,
00:01:01,83.80,
00:01:02,83.80,
00:01:03,89.17,
00:01:04,116.80,
00:01:05,116.80,
00:01:06,116.80,
00:01:07,83.80,
00:01:08,83.80,
00:01:09,90.73,
00:01:10,83.80,
00:01:11,83.80,
00:01:12,83.80,
00:01:13,116.80,
