Time (s), Speed
00:00:00,60.28,
00:00:01,81.77,
00:00:02,81.77,
00:00:03,81.77,
00:00:04,56.98,
00:00:05,81.77,
00:00:06,89.22,
00:00:07,27.39,
00:00:08,62.26,
00:00:09,56.71,
00:00:10,28.58,
00:00:11,48.50,
00:00:12,56.98,
00:00:13,44.18,
00:00:14,28.49,
00:00:15,28.49,
00:00:16,113.97,
00:00:17,113.97,
00:00:18,113.97,
00:00:19,113.97,
00:00:20,74.33,
00:00:21,113.97,
00:00:22,113.97,
00:00:23,113.97,
00:00:24,113.97,
00:00:25,113.97,
00:00:26,81.77,
00:00:27,28.49,
00:00:28,73.08,
00:00:29,28.49,
00:00:30,28.49,
00:00:31,33.64,
00:00:32,60.20,
00:00:33,56.98,
00:00:34,28.49,
00:00:35,48.23,
00:00:36,113.97,
00:00:37,113.97,
00:00:38,113.97,
00:00:39,113.97,
00:00:40,113.97,
00:00:41,113.97,
00:00:42,113.97,
00:00:43,113.97,
00:00:44,113.97,
00:00:45,113.97,
00:00:46,113.97,
00:00:47,113.97,
00:00:48,113.97,
00:00:49,113.97,
00:00:50,113.97,
00:00:51,113.97,
00:00:52,113.97,
00:00:53,55.28,
00:00:54,81.77,
00:00:55,84.97,
00:00:56,113.97,
00:00:57,113.97,
00:00:58,113.97,
