Time (s), Speed
00:00:00,59.42,
00:00:01,91.87,
00:00:02,91.87,
00:00:03,64.02,
00:00:04,64.02,
00:00:05,91.87,
00:00:06,91.87,
00:00:07,32.01,
00:00:08,38.23,
00:00:09,33.40,
00:00:10,31.15,
00:00:11,53.80,
00:00:12,49.27,
00:00:13,39.57,
00:00:14,39.02,
00:00:15,62.10,
00:00:16,39.57,
00:00:17,62.10,
00:00:18,91.87,
00:00:19,69.79,
00:00:20,91.87,
00:00:21,91.87,
00:00:22,91.87,
00:00:23,91.87,
00:00:24,125.22,
00:00:25,91.87,
00:00:26,91.87,
00:00:27,103.59,
00:00:28,103.59,
00:00:29,91.87,
00:00:30,43.06,
00:00:31,62.12,
00:00:32,62.10,
00:00:33,39.52,
00:00:34,74.36,
00:00:35,39.57,
00:00:36,31.23,
00:00:37,39.57,
00:00:38,29.72,
00:00:39,76.73,
00:00:40,39.57,
00:00:41,32.01,
00:00:42,32.01,
00:00:43,40.27,
00:00:44,62.01,
00:00:45,64.02,
00:00:46,91.87,
00:00:47,91.87,
00:00:48,91.87,
00:00:49,91.87,
00:00:50,128.04,
00:00:51,128.04,
00:00:52,128.04,
00:00:53,128.04,
00:00:54,128.04,
00:00:55,128.04,
00:00:56,128.04,
00:00:57,91.87,
00:00:58,91.87,
00:00:59,91.87,
00:01:00,91.87,
00:01:01,128.04,
00:01:02,128.04,
00:01:03,91.87,
00:01:04,91.87,
00:01:05,91.87,
00:01:06,91.87,
00:01:07,91.87,
00:01:08,91.87,
00:01:09,91.87,
