Time (s), Speed
00:00:00,54.01,
00:00:01,87.06,
00:00:02,121.35,
00:00:03,87.06,
00:00:04,87.06,
00:00:05,60.67,
00:00:06,87.06,
00:00:07,30.34,
00:00:08,30.34,
00:00:09,58.86,
00:00:10,58.86,
00:00:11,88.18,
00:00:12,68.54,
00:00:13,48.98,
00:00:14,58.21,
00:00:15,88.77,
00:00:16,87.06,
00:00:17,78.25,
00:00:18,78.38,
00:00:19,78.86,
00:00:20,60.67,
00:00:21,87.06,
00:00:22,32.32,
00:00:23,87.06,
00:00:24,87.06,
00:00:25,87.06,
00:00:26,60.67,
00:00:27,60.67,
00:00:28,30.34,
00:00:29,30.34,
00:00:30,30.34,
00:00:31,30.34,
00:00:32,25.99,
00:00:33,60.67,
00:00:34,60.67,
00:00:35,59.80,
00:00:36,60.46,
00:00:37,60.67,
00:00:38,60.67,
00:00:39,30.34,
00:00:40,30.34,
00:00:41,60.67,
00:00:42,30.34,
00:00:43,119.14,
00:00:44,121.35,
00:00:45,121.35,
00:00:46,121.35,
00:00:47,121.35,
00:00:48,121.35,
00:00:49,121.35,
00:00:50,121.35,
00:00:51,121.35,
00:00:52,121.35,
00:00:53,87.06,
00:00:54,121.35,
00:00:55,121.35,
00:00:56,121.35,
00:00:57,121.35,
00:00:58,121.35,
00:00:59,121.35,
00:01:00,60.67,
00:01:01,121.35,
00:01:02,121.35,
00:01:03,87.06,
00:01:04,30.34,
00:01:05,85.67,
