Time (s), Speed
00:00:00,50.52,
00:00:01,89.12,
00:00:02,89.12,
00:00:03,89.12,
00:00:04,60.25,
00:00:05,100.49,
00:00:06,100.49,
00:00:07,100.49,
00:00:08,60.25,
00:00:09,62.11,
00:00:10,89.12,
00:00:11,89.12,
00:00:12,89.12,
00:00:13,89.12,
00:00:14,89.12,
00:00:15,89.12,
00:00:16,89.12,
00:00:17,89.12,
00:00:18,89.12,
00:00:19,89.12,
00:00:20,89.12,
00:00:21,89.12,
00:00:22,89.12,
00:00:23,62.11,
00:00:24,60.25,
00:00:25,100.97,
00:00:26,41.73,
00:00:27,31.05,
00:00:28,56.14,
00:00:29,44.03,
00:00:30,38.38,
00:00:31,57.01,
00:00:32,41.17,
00:00:33,38.38,
00:00:34,56.04,
00:00:35,116.51,
00:00:36,124.21,
00:00:37,124.21,
00:00:38,124.21,
00:00:39,124.21,
00:00:40,124.21,
00:00:41,124.21,
00:00:42,124.21,
00:00:43,124.21,
00:00:44,124.21,
00:00:45,96.45,
00:00:46,89.12,
00:00:47,109.25,
00:00:48,124.21,
00:00:49,124.21,
00:00:50,89.12,
00:00:51,89.12,
00:00:52,89.12,
00:00:53,89.12,
00:00:54,91.44,
00:00:55,89.12,
00:00:56,89.12,
00:00:57,89.12,
00:00:58,89.12,
