AgentName,StartTime,EndTime,Duration,AverageUnitsPerSecond,StartingDistanceFromDest,Wait Time,Max Speed
BP_Agent_Male14,00:00:00,00:00:34,00:00:34,1.42,4159.86,0.00,142.78
BP_Agent_Male24,00:00:00,00:00:36,00:00:36,1.33,3921.86,0.00,133.66
BP_Agent_Female23,00:00:00,00:00:45,00:00:45,1.06,3812.69,0.00,107.31
BP_Agent_Female22,00:00:00,00:00:46,00:00:46,1.07,3880.69,0.00,115.24
BP_Agent_Male7,00:00:00,00:00:47,00:00:47,1.07,4021.69,2.00,126.52
BP_Agent_Female7,00:00:00,00:00:47,00:00:47,1.06,3960.08,0.00,129.23
BP_Agent_Female24,00:00:00,00:00:48,00:00:48,1.01,4024.75,0.00,105.92
BP_Agent_Female16,00:00:00,00:00:49,00:00:49,1.00,4074.16,0.00,112.04
BP_Agent_Female8,00:00:00,00:00:50,00:00:50,0.95,3642.86,2.00,109.88
BP_Agent_Female15,00:00:00,00:00:51,00:00:51,1.02,4157.68,1.00,129.57
BP_Agent_Female3,00:00:00,00:00:52,00:00:52,1.00,4067.26,0.00,114.54
BP_Agent_Male9,00:00:00,00:00:52,00:00:52,0.93,3768.11,1.00,119.33
BP_Agent_Male10,00:00:00,00:00:53,00:00:53,0.94,4193.57,0.00,100.57
BP_Agent_Male22,00:00:00,00:00:54,00:00:54,0.94,3849.43,1.00,108.63
BP_Agent_Female14,00:00:00,00:00:54,00:00:54,0.94,4239.81,4.00,127.75
BP_Agent_Male8,00:00:00,00:00:55,00:00:55,0.90,3734.63,5.00,128.99
BP_Agent_Female4,00:00:00,00:00:55,00:00:55,0.92,3866.52,5.00,132.11
BP_Agent_Female11,00:00:00,00:00:56,00:00:56,0.93,4198.66,2.00,104.80
BP_Agent_Female12,00:00:00,00:00:56,00:00:56,0.89,3762.57,7.00,125.22
BP_Agent_Male11,00:00:00,00:00:57,00:00:57,0.89,4110.98,4.00,113.89
BP_Agent_Female2,00:00:00,00:00:58,00:00:58,0.89,3560.79,9.00,126.53
BP_Agent_Male19,00:00:00,00:00:58,00:00:58,0.87,4106.79,5.00,107.74
BP_Agent_Female5,00:00:00,00:00:59,00:00:59,0.84,3651.53,12.00,113.97
BP_Agent_Male,00:00:00,00:00:59,00:00:59,0.88,3943.83,6.00,124.21
BP_Agent_Male12,00:00:00,00:00:59,00:00:59,0.84,3828.30,7.00,132.20
BP_Agent_Female21,00:00:00,00:01:00,00:01:00,0.85,4188.31,6.00,106.34
BP_Agent_Male16,00:00:00,00:01:01,00:01:01,0.84,4336.76,9.00,126.70
BP_Agent_Female9,00:00:00,00:01:02,00:01:02,0.82,3948.14,9.00,102.56
BP_Agent_Male13,00:00:00,00:01:03,00:01:03,0.85,4028.86,8.00,137.71
BP_Agent_Female17,00:00:00,00:01:03,00:01:03,0.83,4340.51,11.00,129.80
BP_Agent_Male17,00:00:00,00:01:03,00:01:03,0.82,4213.01,9.00,100.18
BP_Agent_Female18,00:00:00,00:01:04,00:01:04,0.84,4524.83,11.00,115.50
BP_Agent_Male20,00:00:00,00:01:05,00:01:05,0.79,4245.87,13.00,114.29
BP_Agent_Male15,00:00:00,00:01:05,00:01:05,0.82,4243.88,15.00,129.68
BP_Agent_Male3,00:00:00,00:01:06,00:01:06,0.79,3980.74,13.00,121.35
BP_Agent_Female6,00:00:00,00:01:06,00:01:06,0.77,3838.12,15.00,129.05
BP_Agent_Male18,00:00:00,00:01:07,00:01:07,0.79,4432.12,13.00,116.40
BP_Agent_Female13,00:00:00,00:01:07,00:01:07,0.82,4385.63,11.00,126.75
BP_Agent_Male2,00:00:00,00:01:08,00:01:08,0.78,3867.78,17.00,125.11
BP_Agent_Female19,00:00:00,00:01:08,00:01:08,0.75,4268.24,19.00,99.91
BP_Agent_Male23,00:00:00,00:01:09,00:01:09,0.78,4371.13,20.00,127.53
BP_Agent_Female20,00:00:00,00:01:10,00:01:10,0.75,4336.02,14.00,113.37
BP_Agent_Female,00:00:00,00:01:10,00:01:10,0.78,3733.22,18.00,128.04
BP_Agent_Male21,00:00:00,00:01:11,00:01:11,0.75,4381.32,18.00,107.54
BP_Agent_Male6,00:00:00,00:01:12,00:01:12,0.78,3581.35,21.00,132.44
BP_Agent_Male5,00:00:00,00:01:12,00:01:12,0.74,3687.17,21.00,125.12
BP_Agent_Male4,00:00:00,00:01:12,00:01:12,0.75,3763.56,25.00,138.82
BP_Agent_Female10,00:00:00,00:01:14,00:01:14,0.69,3650.77,27.00,100.11
