Time (s), Speed
00:00:00,86.10,
00:00:01,86.10,
00:00:02,120.00,
00:00:03,120.00,
00:00:04,120.00,
00:00:05,120.00,
00:00:06,58.20,
00:00:07,71.16,
00:00:08,17.89,
00:00:09,38.56,
00:00:10,1.07,
00:00:11,86.10,
00:00:12,86.10,
00:00:13,86.10,
00:00:14,120.00,
00:00:15,120.00,
00:00:16,120.00,
00:00:17,120.00,
00:00:18,120.00,
00:00:19,120.00,
00:00:20,120.00,
00:00:21,120.00,
00:00:22,60.00,
00:00:23,86.10,
00:00:24,86.10,
00:00:25,86.10,
00:00:26,86.10,
00:00:27,58.20,
00:00:28,97.08,
00:00:29,97.08,
00:00:30,97.08,
00:00:31,120.00,
00:00:32,120.00,
00:00:33,120.00,
00:00:34,120.00,
00:00:35,120.00,
00:00:36,120.00,
00:00:37,120.00,
00:00:38,120.00,
00:00:39,120.00,
00:00:40,120.00,
00:00:41,120.00,
00:00:42,120.00,
00:00:43,120.00,
00:00:44,120.00,
00:00:45,86.10,
00:00:46,86.10,
00:00:47,86.10,
