AgentName,StartTime,EndTime,Duration,AverageUnitsPerSecond,StartingDistanceFromDest,Wait Time,Max Speed
BP_Agent_Female23,00:00:00,00:00:36,00:00:36,1.20,3388.00,0.00,120.00
BP_Agent_Male22,00:00:00,00:00:36,00:00:36,1.20,3562.39,0.00,120.00
BP_Agent_Male9,00:00:00,00:00:37,00:00:37,1.16,3460.76,0.00,120.00
BP_Agent_Female8,00:00:00,00:00:38,00:00:38,1.14,3309.01,0.00,120.00
BP_Agent_Male10,00:00:00,00:00:39,00:00:39,1.11,3225.21,0.00,120.00
BP_Agent_Male12,00:00:00,00:00:39,00:00:39,1.13,3549.17,0.00,120.00
BP_Agent_Female9,00:00:00,00:00:40,00:00:40,1.13,3666.61,0.00,120.00
BP_Agent_Female24,00:00:00,00:00:40,00:00:40,1.09,3700.88,0.00,120.00
BP_Agent_Male8,00:00:00,00:00:41,00:00:41,1.10,3460.47,0.00,120.00
BP_Agent_Female6,00:00:00,00:00:41,00:00:41,1.11,3576.12,0.00,120.00
BP_Agent_Female2,00:00:00,00:00:42,00:00:42,1.11,3307.21,2.00,120.00
BP_Agent_Male14,00:00:00,00:00:42,00:00:42,1.06,3807.34,1.00,120.00
BP_Agent_Female22,00:00:00,00:00:43,00:00:43,1.04,3584.49,1.00,120.00
BP_Agent_Female14,00:00:00,00:00:44,00:00:44,1.01,3917.40,1.00,120.00
BP_Agent_Male24,00:00:00,00:00:44,00:00:44,1.01,3620.39,1.00,120.00
BP_Agent_Male20,00:00:00,00:00:45,00:00:45,1.01,3929.43,0.00,120.00
BP_Agent_Male,00:00:00,00:00:45,00:00:45,1.01,3670.39,1.00,120.00
BP_Agent_Female16,00:00:00,00:00:45,00:00:45,1.03,3725.52,2.00,120.00
BP_Agent_Male6,00:00:00,00:00:46,00:00:46,1.04,3335.79,2.00,120.00
BP_Agent_Male21,00:00:00,00:00:46,00:00:46,0.99,4048.89,1.00,120.00
BP_Agent_Male19,00:00:00,00:00:46,00:00:46,1.00,3797.62,2.00,120.00
BP_Agent_Female10,00:00:00,00:00:47,00:00:47,0.97,3379.92,3.00,120.00
BP_Agent_Female3,00:00:00,00:00:47,00:00:47,1.01,3785.26,4.00,120.00
BP_Agent_Female5,00:00:00,00:00:47,00:00:47,0.95,3392.05,5.00,120.00
BP_Agent_Male11,00:00:00,00:00:48,00:00:48,1.00,3818.04,0.00,120.00
BP_Agent_Male4,00:00:00,00:00:48,00:00:48,0.98,3512.93,4.00,120.00
BP_Agent_Male7,00:00:00,00:00:48,00:00:48,0.96,3727.61,3.00,120.00
BP_Agent_Male17,00:00:00,00:00:49,00:00:49,1.02,3921.79,0.00,120.00
BP_Agent_Male13,00:00:00,00:00:49,00:00:49,1.00,3752.90,1.00,120.00
BP_Agent_Female4,00:00:00,00:00:50,00:00:50,0.93,3592.66,1.00,120.00
BP_Agent_Female12,00:00:00,00:00:50,00:00:50,0.94,3495.95,4.00,120.00
BP_Agent_Female19,00:00:00,00:00:50,00:00:50,0.91,3940.78,6.00,120.00
BP_Agent_Female11,00:00:00,00:00:51,00:00:51,0.89,3901.54,3.00,120.00
BP_Agent_Male18,00:00:00,00:00:51,00:00:51,0.94,4114.79,3.00,120.00
BP_Agent_Female13,00:00:00,00:00:51,00:00:51,0.95,4074.78,2.00,120.00
BP_Agent_Male5,00:00:00,00:00:51,00:00:51,0.92,3430.96,3.00,120.00
BP_Agent_Female21,00:00:00,00:00:52,00:00:52,0.91,3877.25,3.00,120.00
BP_Agent_Female7,00:00:00,00:00:52,00:00:52,0.94,3669.06,5.00,120.00
BP_Agent_Male16,00:00:00,00:00:52,00:00:52,0.94,4032.38,4.00,120.00
BP_Agent_Female20,00:00:00,00:00:52,00:00:52,0.91,4020.03,3.00,120.00
BP_Agent_Male15,00:00:00,00:00:53,00:00:53,0.94,3941.09,4.00,120.00
BP_Agent_Female,00:00:00,00:00:53,00:00:53,0.92,3492.19,5.00,120.00
BP_Agent_Male2,00:00:00,00:00:54,00:00:54,0.89,3611.88,6.00,120.00
BP_Agent_Female15,00:00:00,00:00:54,00:00:54,0.91,3852.99,5.00,120.00
BP_Agent_Male3,00:00:00,00:00:54,00:00:54,0.91,3713.91,1.00,120.00
BP_Agent_Male23,00:00:00,00:00:54,00:00:54,0.91,4049.02,9.00,120.00
BP_Agent_Female17,00:00:00,00:00:55,00:00:55,0.84,4014.75,11.00,120.00
BP_Agent_Female18,00:00:00,00:00:56,00:00:56,0.87,4200.38,5.00,120.00
