Time (s), Speed
00:00:00,86.10,
00:00:01,58.20,
00:00:02,58.20,
00:00:03,120.00,
00:00:04,120.00,
00:00:05,30.00,
00:00:06,37.08,
00:00:07,37.08,
00:00:08,97.08,
00:00:09,37.08,
00:00:10,30.00,
00:00:11,120.00,
00:00:12,120.00,
00:00:13,120.00,
00:00:14,120.00,
00:00:15,120.00,
00:00:16,120.00,
00:00:17,120.00,
00:00:18,120.00,
00:00:19,120.00,
00:00:20,120.00,
00:00:21,86.10,
00:00:22,120.00,
00:00:23,120.00,
00:00:24,120.00,
00:00:25,86.10,
00:00:26,60.00,
00:00:27,120.00,
00:00:28,120.00,
00:00:29,120.00,
00:00:30,120.00,
00:00:31,120.00,
00:00:32,86.10,
00:00:33,86.10,
00:00:34,86.10,
00:00:35,86.10,
00:00:36,86.10,
00:00:37,86.10,
00:00:38,120.00,
00:00:39,120.00,
00:00:40,120.00,
00:00:41,86.10,
00:00:42,86.10,
00:00:43,86.10,
00:00:44,120.00,
00:00:45,120.00,
00:00:46,86.10,
