AgentName,StartTime,EndTime,Duration,AverageUnitsPerSecond,StartingDistanceFromDest,Wait Time,Max Speed
BP_Agent_Female23,00:00:00,00:00:35,00:00:35,1.19,3388.00,0.00,120.00
BP_Agent_Male9,00:00:00,00:00:36,00:00:36,1.19,3460.76,0.00,120.00
BP_Agent_Female22,00:00:00,00:00:37,00:00:37,1.17,3584.49,0.00,120.00
BP_Agent_Male7,00:00:00,00:00:37,00:00:37,1.18,3727.61,0.00,120.00
BP_Agent_Female8,00:00:00,00:00:38,00:00:38,1.11,3309.01,1.00,120.00
BP_Agent_Male12,00:00:00,00:00:39,00:00:39,1.14,3549.17,0.00,120.00
BP_Agent_Female24,00:00:00,00:00:40,00:00:40,1.10,3700.88,1.00,120.00
BP_Agent_Male10,00:00:00,00:00:40,00:00:40,1.08,3225.21,1.00,120.00
BP_Agent_Male19,00:00:00,00:00:41,00:00:41,1.07,3797.62,0.00,120.00
BP_Agent_Female19,00:00:00,00:00:42,00:00:42,1.09,3940.78,1.00,120.00
BP_Agent_Male24,00:00:00,00:00:42,00:00:42,1.08,3620.39,0.00,120.00
BP_Agent_Female10,00:00:00,00:00:43,00:00:43,1.02,3379.92,3.00,120.00
BP_Agent_Female16,00:00:00,00:00:43,00:00:43,1.04,3725.52,1.00,120.00
BP_Agent_Female21,00:00:00,00:00:43,00:00:43,1.06,3877.25,0.00,120.00
BP_Agent_Female2,00:00:00,00:00:43,00:00:43,1.04,3307.21,2.00,120.00
BP_Agent_Female4,00:00:00,00:00:44,00:00:44,1.05,3592.66,0.00,120.00
BP_Agent_Female15,00:00:00,00:00:45,00:00:45,1.03,3852.99,2.00,120.00
BP_Agent_Female14,00:00:00,00:00:45,00:00:45,1.01,3917.40,1.00,120.00
BP_Agent_Male4,00:00:00,00:00:45,00:00:45,1.05,3512.93,0.00,120.00
BP_Agent_Male14,00:00:00,00:00:45,00:00:45,1.02,3807.34,1.00,120.00
BP_Agent_Female7,00:00:00,00:00:46,00:00:46,1.00,3669.06,3.00,120.00
BP_Agent_Male21,00:00:00,00:00:47,00:00:47,1.01,4048.89,0.00,120.00
BP_Agent_Male2,00:00:00,00:00:47,00:00:47,1.01,3611.88,1.00,120.00
BP_Agent_Female5,00:00:00,00:00:47,00:00:47,0.97,3392.05,5.00,120.00
BP_Agent_Male,00:00:00,00:00:47,00:00:47,1.01,3670.39,0.00,120.00
BP_Agent_Male6,00:00:00,00:00:48,00:00:48,0.98,3335.79,6.00,120.00
BP_Agent_Female3,00:00:00,00:00:48,00:00:48,1.00,3785.26,1.00,120.00
BP_Agent_Male8,00:00:00,00:00:48,00:00:48,0.94,3460.47,2.00,120.00
BP_Agent_Female9,00:00:00,00:00:49,00:00:49,0.97,3666.61,2.00,120.00
BP_Agent_Female6,00:00:00,00:00:49,00:00:49,0.96,3576.12,2.00,120.00
BP_Agent_Female17,00:00:00,00:00:50,00:00:50,0.97,4014.75,5.00,120.00
BP_Agent_Male22,00:00:00,00:00:50,00:00:50,0.94,3562.39,4.00,120.00
BP_Agent_Male13,00:00:00,00:00:50,00:00:50,0.99,3752.90,0.00,120.00
BP_Agent_Male18,00:00:00,00:00:50,00:00:50,0.96,4114.79,0.00,120.00
BP_Agent_Male17,00:00:00,00:00:51,00:00:51,0.95,3921.79,3.00,120.00
BP_Agent_Male15,00:00:00,00:00:51,00:00:51,0.97,3941.09,4.00,120.00
BP_Agent_Female,00:00:00,00:00:51,00:00:51,0.95,3492.19,0.00,120.00
BP_Agent_Male16,00:00:00,00:00:52,00:00:52,0.91,4032.38,3.00,120.00
BP_Agent_Male3,00:00:00,00:00:52,00:00:52,0.92,3713.91,3.00,120.00
BP_Agent_Female18,00:00:00,00:00:52,00:00:52,0.89,4200.38,7.00,120.00
BP_Agent_Male5,00:00:00,00:00:53,00:00:53,0.89,3430.96,5.00,120.00
BP_Agent_Male20,00:00:00,00:00:53,00:00:53,0.92,3929.43,5.00,120.00
BP_Agent_Female11,00:00:00,00:00:53,00:00:53,0.89,3901.54,3.00,120.00
BP_Agent_Female12,00:00:00,00:00:54,00:00:54,0.84,3495.95,9.00,120.00
BP_Agent_Male23,00:00:00,00:00:54,00:00:54,0.86,4049.02,4.00,120.00
BP_Agent_Male11,00:00:00,00:00:54,00:00:54,0.91,3818.04,4.00,120.00
BP_Agent_Female13,00:00:00,00:00:55,00:00:55,0.89,4074.78,6.00,120.00
BP_Agent_Female20,00:00:00,00:00:56,00:00:56,0.84,4020.03,6.00,120.00
