Time (s), Speed
00:00:00,86.10,
00:00:01,120.00,
00:00:02,120.00,
00:00:03,86.10,
00:00:04,86.10,
00:00:05,86.10,
00:00:06,86.10,
00:00:07,45.11,
00:00:08,72.94,
00:00:09,37.08,
00:00:10,30.00,
00:00:11,86.10,
00:00:12,86.10,
00:00:13,86.10,
00:00:14,97.08,
00:00:15,120.00,
00:00:16,120.00,
00:00:17,120.00,
00:00:18,86.10,
00:00:19,86.10,
00:00:20,86.10,
00:00:21,86.10,
00:00:22,120.00,
00:00:23,86.10,
00:00:24,86.10,
00:00:25,86.10,
00:00:26,86.10,
00:00:27,86.10,
00:00:28,97.08,
00:00:29,97.08,
00:00:30,97.08,
00:00:31,97.08,
00:00:32,97.08,
00:00:33,86.10,
00:00:34,120.00,
00:00:35,120.00,
00:00:36,120.00,
00:00:37,120.00,
00:00:38,120.00,
00:00:39,120.00,
00:00:40,120.00,
00:00:41,120.00,
00:00:42,120.00,
00:00:43,120.00,
00:00:44,120.00,
00:00:45,120.00,
00:00:46,120.00,
00:00:47,120.00,
00:00:48,120.00,
00:00:49,86.10,
00:00:50,86.10,
00:00:51,86.10,
00:00:52,86.10,
00:00:53,120.00,
00:00:54,86.10,
00:00:55,86.10,
00:00:56,86.10,
00:00:57,86.10,
00:00:58,86.10,
00:00:59,120.00,
