AgentName,StartTime,EndTime,Duration,AverageUnitsPerSecond,StartingDistanceFromDest,Wait Time,Max Speed
BP_Agent_Male14,00:00:00,00:00:43,00:00:43,1.20,4115.31,0.00,120.00
BP_Agent_Male24,00:00:00,00:00:44,00:00:44,1.20,3909.22,0.00,120.00
BP_Agent_Female24,00:00:00,00:00:45,00:00:45,1.16,4000.50,0.00,120.00
BP_Agent_Male9,00:00:00,00:00:45,00:00:45,1.18,3735.17,0.00,120.00
BP_Agent_Female14,00:00:00,00:00:46,00:00:46,1.14,4226.42,0.00,120.00
BP_Agent_Female16,00:00:00,00:00:47,00:00:47,1.14,4016.92,0.00,120.00
BP_Agent_Female23,00:00:00,00:00:48,00:00:48,1.16,3660.56,0.00,120.00
BP_Agent_Female8,00:00:00,00:00:48,00:00:48,1.12,3576.44,0.00,120.00
BP_Agent_Female9,00:00:00,00:00:49,00:00:49,1.13,3936.25,3.00,120.00
BP_Agent_Female7,00:00:00,00:00:49,00:00:49,1.10,3947.83,4.00,120.00
BP_Agent_Male10,00:00:00,00:00:50,00:00:50,1.12,3484.94,1.00,120.00
BP_Agent_Female4,00:00:00,00:00:51,00:00:51,1.11,3854.90,2.00,120.00
BP_Agent_Male21,00:00:00,00:00:51,00:00:51,1.05,4367.57,1.00,120.00
BP_Agent_Female19,00:00:00,00:00:51,00:00:51,1.05,4254.67,1.00,120.00
BP_Agent_Male8,00:00:00,00:00:52,00:00:52,1.08,3722.97,1.00,120.00
BP_Agent_Male11,00:00:00,00:00:52,00:00:52,1.05,4098.68,0.00,120.00
BP_Agent_Male7,00:00:00,00:00:53,00:00:53,1.04,4009.34,4.00,120.00
BP_Agent_Female17,00:00:00,00:00:53,00:00:53,1.01,4327.01,4.00,120.00
BP_Agent_Male19,00:00:00,00:00:54,00:00:54,1.00,4093.88,1.00,120.00
BP_Agent_Female22,00:00:00,00:00:54,00:00:54,1.04,3868.24,0.00,120.00
BP_Agent_Male22,00:00:00,00:00:54,00:00:54,1.02,3837.31,4.00,120.00
BP_Agent_Female10,00:00:00,00:00:55,00:00:55,1.01,3639.22,4.00,120.00
BP_Agent_Male12,00:00:00,00:00:56,00:00:56,1.01,3816.47,4.00,120.00
BP_Agent_Male20,00:00:00,00:00:56,00:00:56,0.97,4232.71,3.00,120.00
BP_Agent_Male23,00:00:00,00:00:57,00:00:57,0.97,4357.77,6.00,120.00
BP_Agent_Female15,00:00:00,00:00:58,00:00:58,0.98,4144.95,3.00,120.00
BP_Agent_Male15,00:00:00,00:00:58,00:00:58,0.95,4231.23,6.00,120.00
BP_Agent_Female5,00:00:00,00:00:58,00:00:58,1.01,3641.16,3.00,120.00
BP_Agent_Female20,00:00:00,00:00:58,00:00:58,0.95,4322.88,8.00,120.00
BP_Agent_Female2,00:00:00,00:00:59,00:00:59,0.99,3549.86,7.00,120.00
BP_Agent_Male,00:00:00,00:01:00,00:01:00,0.98,3932.23,3.00,120.00
BP_Agent_Male18,00:00:00,00:01:00,00:01:00,0.92,4418.94,12.00,120.00
BP_Agent_Female21,00:00:00,00:01:01,00:01:01,0.91,4175.34,6.00,120.00
BP_Agent_Male4,00:00:00,00:01:01,00:01:01,0.96,3752.79,7.00,120.00
BP_Agent_Male16,00:00:00,00:01:01,00:01:01,0.93,4324.06,10.00,120.00
BP_Agent_Female18,00:00:00,00:01:02,00:01:02,0.90,4511.40,9.00,120.00
BP_Agent_Male17,00:00:00,00:01:02,00:01:02,0.90,4200.78,11.00,120.00
BP_Agent_Male6,00:00:00,00:01:03,00:01:03,0.95,3570.73,7.00,120.00
BP_Agent_Female3,00:00:00,00:01:03,00:01:03,0.91,4055.36,8.00,120.00
BP_Agent_Male2,00:00:00,00:01:04,00:01:04,0.90,3856.83,10.00,120.00
BP_Agent_Female13,00:00:00,00:01:04,00:01:04,0.89,4372.69,10.00,120.00
BP_Agent_Female11,00:00:00,00:01:05,00:01:05,0.89,4186.21,13.00,120.00
BP_Agent_Female,00:00:00,00:01:05,00:01:05,0.91,3722.81,10.00,120.00
BP_Agent_Female12,00:00:00,00:01:05,00:01:05,0.91,3751.20,10.00,120.00
BP_Agent_Male13,00:00:00,00:01:06,00:01:06,0.91,4017.18,10.00,120.00
BP_Agent_Male5,00:00:00,00:01:07,00:01:07,0.90,3676.18,8.00,120.00
BP_Agent_Male3,00:00:00,00:01:07,00:01:07,0.88,3969.40,13.00,120.00
BP_Agent_Female6,00:00:00,00:01:08,00:01:08,0.88,3826.94,8.00,120.00
