Time (s), Speed
00:00:00,86.10,
00:00:01,86.10,
00:00:02,86.10,
00:00:03,60.00,
00:00:04,58.20,
00:00:05,86.10,
00:00:06,37.08,
00:00:07,39.24,
00:00:08,37.04,
00:00:09,12.90,
00:00:10,37.08,
00:00:11,5.97,
00:00:12,0.53,
00:00:13,13.94,
00:00:14,37.08,
00:00:15,30.00,
00:00:16,30.00,
00:00:17,60.00,
00:00:18,60.00,
00:00:19,60.00,
00:00:20,120.00,
00:00:21,120.00,
00:00:22,120.00,
00:00:23,120.00,
00:00:24,86.10,
00:00:25,86.10,
00:00:26,86.10,
00:00:27,86.10,
00:00:28,86.10,
00:00:29,86.10,
00:00:30,86.10,
00:00:31,86.10,
00:00:32,97.08,
00:00:33,60.00,
00:00:34,58.20,
00:00:35,58.20,
00:00:36,97.08,
00:00:37,60.00,
00:00:38,86.10,
00:00:39,120.00,
00:00:40,120.00,
00:00:41,120.00,
00:00:42,120.00,
00:00:43,120.00,
00:00:44,120.00,
00:00:45,120.00,
00:00:46,120.00,
00:00:47,120.00,
00:00:48,86.10,
00:00:49,86.10,
00:00:50,86.10,
00:00:51,120.00,
00:00:52,120.00,
00:00:53,120.00,
00:00:54,120.00,
00:00:55,120.00,
00:00:56,120.00,
00:00:57,120.00,
00:00:58,86.10,
00:00:59,86.10,
00:01:00,86.10,
00:01:01,86.10,
00:01:02,97.08,
00:01:03,97.08,
00:01:04,120.00,
00:01:05,86.10,
