Time (s), Speed
00:00:00,120.00,
00:00:01,120.00,
00:00:02,120.00,
00:00:03,86.10,
00:00:04,86.10,
00:00:05,77.09,
00:00:06,19.26,
00:00:07,28.61,
00:00:08,17.25,
00:00:09,58.75,
00:00:10,31.28,
00:00:11,37.08,
00:00:12,29.13,
00:00:13,37.08,
00:00:14,37.08,
00:00:15,86.10,
00:00:16,97.08,
00:00:17,86.10,
00:00:18,120.00,
00:00:19,120.00,
00:00:20,120.00,
00:00:21,120.00,
00:00:22,120.00,
00:00:23,120.00,
00:00:24,120.00,
00:00:25,58.20,
00:00:26,60.00,
00:00:27,86.10,
00:00:28,86.10,
00:00:29,60.00,
00:00:30,60.00,
00:00:31,60.00,
00:00:32,58.20,
00:00:33,86.10,
00:00:34,58.20,
00:00:35,58.20,
00:00:36,120.00,
00:00:37,120.00,
00:00:38,120.00,
00:00:39,120.00,
00:00:40,120.00,
00:00:41,120.00,
00:00:42,120.00,
00:00:43,120.00,
00:00:44,120.00,
00:00:45,120.00,
00:00:46,120.00,
00:00:47,120.00,
00:00:48,120.00,
00:00:49,120.00,
00:00:50,120.00,
00:00:51,120.00,
00:00:52,120.00,
00:00:53,120.00,
00:00:54,120.00,
00:00:55,120.00,
00:00:56,120.00,
00:00:57,120.00,
00:00:58,120.00,
00:00:59,86.10,
00:01:00,86.10,
00:01:01,97.08,
