AgentName,StartTime,EndTime,Duration,AverageUnitsPerSecond,StartingDistanceFromDest,Wait Time,Max Speed
BP_Agent_Male14,00:00:00,00:00:43,00:00:43,1.19,4115.31,0.00,120.00
BP_Agent_Female24,00:00:00,00:00:43,00:00:43,1.18,4000.50,0.00,120.00
BP_Agent_Male19,00:00:00,00:00:45,00:00:45,1.16,4093.88,1.00,120.00
BP_Agent_Male24,00:00:00,00:00:47,00:00:47,1.15,3909.22,0.00,120.00
BP_Agent_Male9,00:00:00,00:00:47,00:00:47,1.14,3735.17,0.00,120.00
BP_Agent_Female16,00:00:00,00:00:48,00:00:48,1.11,4016.92,1.00,120.00
BP_Agent_Female8,00:00:00,00:00:49,00:00:49,1.14,3576.44,0.00,120.00
BP_Agent_Female22,00:00:00,00:00:50,00:00:50,1.07,3868.24,0.00,120.00
BP_Agent_Female23,00:00:00,00:00:50,00:00:50,1.09,3660.56,1.00,120.00
BP_Agent_Female7,00:00:00,00:00:51,00:00:51,1.09,3947.83,1.00,120.00
BP_Agent_Female14,00:00:00,00:00:51,00:00:51,1.03,4226.42,1.00,120.00
BP_Agent_Male7,00:00:00,00:00:52,00:00:52,1.06,4009.34,3.00,120.00
BP_Agent_Female19,00:00:00,00:00:52,00:00:52,1.02,4254.67,3.00,120.00
BP_Agent_Male22,00:00:00,00:00:52,00:00:52,1.04,3837.31,0.00,120.00
BP_Agent_Male21,00:00:00,00:00:53,00:00:53,1.01,4367.57,2.00,120.00
BP_Agent_Female9,00:00:00,00:00:53,00:00:53,1.05,3936.25,2.00,120.00
BP_Agent_Male5,00:00:00,00:00:53,00:00:53,1.10,3676.18,2.00,120.00
BP_Agent_Male20,00:00:00,00:00:54,00:00:54,1.02,4232.71,2.00,120.00
BP_Agent_Female10,00:00:00,00:00:54,00:00:54,1.03,3639.22,3.00,120.00
BP_Agent_Male17,00:00:00,00:00:55,00:00:55,1.01,4200.78,4.00,120.00
BP_Agent_Male4,00:00:00,00:00:56,00:00:56,1.07,3752.79,4.00,120.00
BP_Agent_Female4,00:00:00,00:00:56,00:00:56,1.02,3854.90,5.00,120.00
BP_Agent_Male10,00:00:00,00:00:57,00:00:57,1.01,3484.94,5.00,120.00
BP_Agent_Male23,00:00:00,00:00:57,00:00:57,0.98,4357.77,5.00,120.00
BP_Agent_Female5,00:00:00,00:00:57,00:00:57,1.02,3641.16,4.00,120.00
BP_Agent_Female15,00:00:00,00:00:58,00:00:58,0.95,4144.95,5.00,120.00
BP_Agent_Male6,00:00:00,00:00:58,00:00:58,1.01,3570.73,8.00,120.00
BP_Agent_Female17,00:00:00,00:00:58,00:00:58,0.95,4327.01,5.00,120.00
BP_Agent_Male8,00:00:00,00:00:59,00:00:59,0.98,3722.97,5.00,120.00
BP_Agent_Male11,00:00:00,00:00:59,00:00:59,0.96,4098.68,7.00,120.00
BP_Agent_Male,00:00:00,00:01:00,00:01:00,0.96,3932.23,3.00,120.00
BP_Agent_Female6,00:00:00,00:01:00,00:01:00,0.99,3826.94,5.00,120.00
BP_Agent_Female12,00:00:00,00:01:00,00:01:00,0.98,3751.20,3.00,120.00
BP_Agent_Male13,00:00:00,00:01:01,00:01:01,0.95,4017.18,7.00,120.00
BP_Agent_Male12,00:00:00,00:01:01,00:01:01,0.94,3816.47,10.00,120.00
BP_Agent_Male18,00:00:00,00:01:02,00:01:02,0.92,4418.94,6.00,120.00
BP_Agent_Female11,00:00:00,00:01:02,00:01:02,0.93,4186.21,8.00,120.00
BP_Agent_Male16,00:00:00,00:01:02,00:01:02,0.92,4324.06,5.00,120.00
BP_Agent_Female18,00:00:00,00:01:03,00:01:03,0.89,4511.40,6.00,120.00
BP_Agent_Female2,00:00:00,00:01:03,00:01:03,0.93,3549.86,8.00,120.00
BP_Agent_Male15,00:00:00,00:01:04,00:01:04,0.91,4231.23,11.00,120.00
BP_Agent_Female20,00:00:00,00:01:05,00:01:05,0.89,4322.88,11.00,120.00
BP_Agent_Female,00:00:00,00:01:05,00:01:05,0.92,3722.81,8.00,120.00
BP_Agent_Male2,00:00:00,00:01:05,00:01:05,0.92,3856.83,8.00,120.00
BP_Agent_Female13,00:00:00,00:01:05,00:01:05,0.87,4372.69,13.00,120.00
BP_Agent_Female21,00:00:00,00:01:06,00:01:06,0.87,4175.34,15.00,120.00
BP_Agent_Female3,00:00:00,00:01:07,00:01:07,0.89,4055.36,10.00,120.00
BP_Agent_Male3,00:00:00,00:01:07,00:01:07,0.88,3969.40,9.00,120.00
