Time (s), Speed
00:00:00,86.10,
00:00:01,97.08,
00:00:02,97.08,
00:00:03,97.08,
00:00:04,58.20,
00:00:05,60.00,
00:00:06,30.00,
00:00:07,14.09,
00:00:08,37.08,
00:00:09,26.08,
00:00:10,37.08,
00:00:11,37.08,
00:00:12,27.71,
00:00:13,25.98,
00:00:14,30.00,
00:00:15,30.00,
00:00:16,60.00,
00:00:17,60.00,
00:00:18,120.00,
00:00:19,86.10,
00:00:20,86.10,
00:00:21,86.10,
00:00:22,86.10,
00:00:23,86.10,
00:00:24,86.10,
00:00:25,120.00,
00:00:26,120.00,
00:00:27,120.00,
00:00:28,86.10,
00:00:29,86.10,
00:00:30,86.10,
00:00:31,86.10,
00:00:32,58.20,
00:00:33,58.20,
00:00:34,97.08,
00:00:35,58.20,
00:00:36,64.23,
00:00:37,37.08,
00:00:38,37.08,
00:00:39,86.10,
00:00:40,86.10,
00:00:41,86.10,
00:00:42,120.00,
00:00:43,120.00,
00:00:44,120.00,
00:00:45,120.00,
00:00:46,120.00,
00:00:47,120.00,
00:00:48,120.00,
00:00:49,120.00,
00:00:50,120.00,
00:00:51,120.00,
00:00:52,120.00,
00:00:53,86.10,
00:00:54,86.10,
00:00:55,86.10,
00:00:56,86.10,
00:00:57,86.10,
00:00:58,86.10,
00:00:59,86.10,
00:01:00,120.00,
00:01:01,120.00,
00:01:02,120.00,
00:01:03,120.00,
