Time (s), Speed
00:00:00,86.10,
00:00:01,120.00,
00:00:02,86.10,
00:00:03,60.00,
00:00:04,54.63,
00:00:05,58.20,
00:00:06,37.08,
00:00:07,58.20,
00:00:08,58.20,
00:00:09,37.08,
00:00:10,27.27,
00:00:11,24.43,
00:00:12,37.08,
00:00:13,30.00,
00:00:14,60.00,
00:00:15,86.10,
00:00:16,86.10,
00:00:17,86.10,
00:00:18,86.10,
00:00:19,86.10,
00:00:20,86.10,
00:00:21,86.10,
00:00:22,120.00,
00:00:23,86.10,
00:00:24,120.00,
00:00:25,120.00,
00:00:26,86.10,
00:00:27,86.10,
00:00:28,86.10,
00:00:29,58.20,
00:00:30,86.10,
00:00:31,30.00,
00:00:32,37.08,
00:00:33,37.08,
00:00:34,30.00,
00:00:35,30.00,
00:00:36,58.20,
00:00:37,58.20,
00:00:38,86.10,
00:00:39,86.10,
00:00:40,120.00,
00:00:41,120.00,
00:00:42,120.00,
00:00:43,120.00,
00:00:44,86.10,
00:00:45,86.10,
00:00:46,120.00,
00:00:47,120.00,
00:00:48,120.00,
00:00:49,120.00,
00:00:50,120.00,
00:00:51,120.00,
00:00:52,120.00,
00:00:53,120.00,
00:00:54,120.00,
00:00:55,120.00,
00:00:56,120.00,
00:00:57,120.00,
00:00:58,120.00,
00:00:59,120.00,
00:01:00,120.00,
00:01:01,120.00,
