AgentName,StartTime,EndTime,Duration,AverageUnitsPerSecond,StartingDistanceFromDest,Wait Time,Max Speed
BP_Agent_Male24,00:00:00,00:00:40,00:00:40,1.20,3909.22,0.00,120.00
BP_Agent_Male9,00:00:00,00:00:40,00:00:40,1.19,3735.17,0.00,120.00
BP_Agent_Female8,00:00:00,00:00:41,00:00:41,1.19,3576.44,0.00,120.00
BP_Agent_Male10,00:00:00,00:00:42,00:00:42,1.17,3484.94,0.00,120.00
BP_Agent_Male22,00:00:00,00:00:42,00:00:42,1.13,3837.31,1.00,120.00
BP_Agent_Female24,00:00:00,00:00:44,00:00:44,1.12,4000.50,0.00,120.00
BP_Agent_Female16,00:00:00,00:00:45,00:00:45,1.13,4016.92,0.00,120.00
BP_Agent_Male8,00:00:00,00:00:45,00:00:45,1.10,3722.97,1.00,120.00
BP_Agent_Female4,00:00:00,00:00:46,00:00:46,1.10,3854.90,0.00,120.00
BP_Agent_Male7,00:00:00,00:00:47,00:00:47,1.09,4009.34,0.00,120.00
BP_Agent_Female5,00:00:00,00:00:47,00:00:47,1.06,3641.16,2.00,120.00
BP_Agent_Male14,00:00:00,00:00:48,00:00:48,1.04,4115.31,1.00,120.00
BP_Agent_Female22,00:00:00,00:00:48,00:00:48,1.03,3868.24,0.00,120.00
BP_Agent_Female23,00:00:00,00:00:48,00:00:48,1.01,3660.56,2.00,120.00
BP_Agent_Female12,00:00:00,00:00:48,00:00:48,1.04,3751.20,2.00,120.00
BP_Agent_Male19,00:00:00,00:00:49,00:00:49,1.05,4093.88,2.00,120.00
BP_Agent_Female15,00:00:00,00:00:50,00:00:50,1.04,4144.95,1.00,120.00
BP_Agent_Female2,00:00:00,00:00:51,00:00:51,0.99,3549.86,4.00,120.00
BP_Agent_Male12,00:00:00,00:00:51,00:00:51,1.00,3816.47,2.00,120.00
BP_Agent_Male5,00:00:00,00:00:52,00:00:52,1.00,3676.18,1.00,120.00
BP_Agent_Female14,00:00:00,00:00:52,00:00:52,0.98,4226.42,2.00,120.00
BP_Agent_Female7,00:00:00,00:00:52,00:00:52,0.96,3947.83,5.00,120.00
BP_Agent_Male11,00:00:00,00:00:53,00:00:53,0.98,4098.68,0.00,120.00
BP_Agent_Female10,00:00:00,00:00:53,00:00:53,0.95,3639.22,4.00,120.00
BP_Agent_Female9,00:00:00,00:00:54,00:00:54,0.95,3936.25,5.00,120.00
BP_Agent_Female21,00:00:00,00:00:55,00:00:55,0.95,4175.34,3.00,120.00
BP_Agent_Female3,00:00:00,00:00:55,00:00:55,0.96,4055.36,4.00,120.00
BP_Agent_Male2,00:00:00,00:00:55,00:00:55,0.95,3856.83,3.00,120.00
BP_Agent_Male20,00:00:00,00:00:55,00:00:55,0.93,4232.71,5.00,120.00
BP_Agent_Female19,00:00:00,00:00:56,00:00:56,0.94,4254.67,10.00,120.00
BP_Agent_Male,00:00:00,00:00:56,00:00:56,0.94,3932.23,4.00,120.00
BP_Agent_Male15,00:00:00,00:00:57,00:00:57,0.94,4231.23,5.00,120.00
BP_Agent_Female11,00:00:00,00:00:57,00:00:57,0.95,4186.21,6.00,120.00
BP_Agent_Male3,00:00:00,00:00:58,00:00:58,0.94,3969.40,8.00,120.00
BP_Agent_Male21,00:00:00,00:00:58,00:00:58,0.92,4367.57,6.00,120.00
BP_Agent_Female6,00:00:00,00:00:58,00:00:58,0.91,3826.94,7.00,120.00
BP_Agent_Male4,00:00:00,00:00:58,00:00:58,0.91,3752.79,5.00,120.00
BP_Agent_Male6,00:00:00,00:00:59,00:00:59,0.91,3570.73,6.00,120.00
BP_Agent_Female18,00:00:00,00:00:59,00:00:59,0.88,4511.40,6.00,120.00
BP_Agent_Male18,00:00:00,00:00:59,00:00:59,0.93,4418.94,5.00,120.00
BP_Agent_Female17,00:00:00,00:01:00,00:01:00,0.86,4327.01,8.00,120.00
BP_Agent_Male13,00:00:00,00:01:01,00:01:01,0.85,4017.18,7.00,120.00
BP_Agent_Female,00:00:00,00:01:01,00:01:01,0.90,3722.81,5.00,120.00
BP_Agent_Male16,00:00:00,00:01:01,00:01:01,0.90,4324.06,5.00,120.00
BP_Agent_Male23,00:00:00,00:01:02,00:01:02,0.86,4357.77,11.00,120.00
BP_Agent_Male17,00:00:00,00:01:02,00:01:02,0.88,4200.78,10.00,120.00
BP_Agent_Female20,00:00:00,00:01:02,00:01:02,0.85,4322.88,9.00,120.00
BP_Agent_Female13,00:00:00,00:01:04,00:01:04,0.85,4372.69,8.00,120.00
